municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y
Peraleda de la Mata,34,27,10203.84444013285,34,27,20259.0920302,1.9854371701825195,0,peraleda de la mata,1.3564191857117927,0.2508675084168257,1.0734112709221295,2.7805678533808798,300.0,289648.024566782,4414423.37186278
Navas del MadroÂ¤o,44,44,12013.724814782694,44,44,14248.1241983,1.185987228604397,0,navas del madroao,,,,,,186780.047236406,4392501.12272541
NuÃ±omoral,21,21,4255.982502024241,21,21,5951.5073701,1.3983862403732463,0,nuaomoral,,,,,,224641.360316709,4478086.44656763
Valdefuentes,41,41,6365.09809945201,41,41,11128.9078941,1.748426767382913,0,valdefuentes,1.3262059183260821,0.1612091412900186,1.104291585240126,2.297678673119639,300.0,230592.429373914,4351881.75923094
Zarza la Mayor,24,24,6984.960019326748,24,24,9350.3445954,1.3386396728869525,0,zarza la mayor,1.3225552792564883,0.12423541403743427,1.0695303127710265,2.378070304952104,300.0,169813.841587804,4421423.87079564
Casatejada,35,27,1057.0612454773568,35,27,3232.5800317,3.0580820605528904,0,casatejada,1.3297918156022859,0.23324181545505596,1.0651817840105873,2.5082359618929595,300.0,270898.858206115,4418723.14329532
Casar de Palomero,21,21,11661.809324891634,21,21,22899.2230148,1.9636080797447604,0,casar de palomero,1.3858564229818813,0.2567051106545341,1.1563182817827538,3.3670136160122994,300.0,223344.803900056,4465642.7369961
Jerte,22,22,3383.95947197688,22,22,5612.6818648,1.658613795844641,0,jerte,1.5607562117872544,0.6820354936064399,1.0654300397382601,5.112537468069007,300.0,266048.90823569,4456122.04073275
Almaraz,37,27,983.4798673839592,37,27,1210.9140517,1.2312545399846488,0,almaraz,1.333373447592191,0.23043467892975733,1.0499590946983723,2.6221862900207515,300.0,271048.889488901,4410723.37244066
Majadas,35,27,7363.519403621555,35,27,8771.8151682,1.1912530798636602,0,majadas,1.382292487082327,0.286977604609713,1.070348675371028,2.6510908374072257,300.0,265549.071751549,4425072.93528023
CaÃ±averal,30,30,1610.2858552541445,30,30,2199.0102439,1.365602409488308,0,caaaveral,,,,,,209654.41672645,4410170.93513546
Rosalejo,27,27,13472.51264202359,34,27,27305.9254238,2.0267878865169586,0,rosalejo,1.490938864542728,0.35463647772350787,1.2037630269160944,3.076271315411898,300.0,290347.922514091,4430172.92018581
Caminomorisco,21,21,10383.883077481849,21,21,15534.8482536,1.4960538497672768,0,caminomorisco,1.3690300003505549,0.2570185098496451,1.0903603911957889,3.3095059500024537,300.0,220605.992981141,4469307.55242669
Riolobos,30,30,15505.010654409904,29,29,21348.5184237,1.3768786684211725,1,riolobos,1.3716818858168993,0.2997345077719172,1.0841998849005559,3.7952245888173723,300.0,217694.090615177,4424318.47668145
CastaÂ¤ar de Ibor,42,42,1695.604318571423,42,42,1974.1035749,1.1642477866317407,0,castaaar de ibor,,,,,,292797.995700139,4389324.10608615
Tornavacas,22,22,9649.3499219698,22,22,12693.5409973,1.3154814676581617,0,tornavacas,1.5564216709877783,0.6623275623525128,1.0665933260769462,4.814619988879202,300.0,271448.6462693,4459671.97317383
Torrecillas de la Tiesa,40,19,13214.130814674189,40,19,18486.3117966,1.3989805349944844,0,torrecillas de la tiesa,1.4906025008272998,0.41660329852521877,1.1382058085386881,4.959716349201097,300.0,264549.305683697,4383524.11618466
Pesga. La,21,21,7476.301023564718,21,21,41774.0853916,5.587533896766775,0,la pesga,1.4611397760055365,0.3618435868630977,1.161685156494837,4.35523180608556,300.0,230384.458285315,4468924.23707648
Carcaboso,29,29,8892.388958264477,29,29,14241.7832209,1.601569981671108,0,carcaboso,1.3348834273582422,0.2152682789660856,1.0489558445783336,2.8029676324293233,300.0,226054.750820244,4438291.27407425
Garganta la Olla,26,22,9766.77257457366,26,22,13368.659851,1.3687899199990914,0,garganta la olla,1.492271135534101,0.561049986244617,1.1048822829452738,4.292854515086401,300.0,263549.079374413,4443922.38105509
Torremocha,41,41,12813.225490485973,41,41,20316.2136421,1.5855659183696655,0,torremocha,1.3410469534176819,0.15392232666543393,1.0465545210779217,2.064648002064388,300.0,226712.344441984,4360008.05417752
Eljas,20,20,24438.56204978513,31,31,48340.4084688,1.9780381664978124,1,eljas,1.3691272262503353,0.19450154862721852,1.1687604264068374,2.720107722335114,300.0,172858.586380015,4459087.8575715
Campo Lugar,36,36,11427.319890857978,36,36,14286.9827621,1.250247905769208,0,campo lugar,1.325178079769673,0.22730282791729095,1.037665149272261,2.7208144544494868,300.0,260799.663019047,4342275.25855147
AlÂ¡a,45,45,26174.025461740926,45,45,39395.680914,1.5051441350351484,0,alaa,,,,,,309347.342576041,4368924.77013339
Arroyomolinos,41,41,5055.483956900703,41,41,8468.0629163,1.675025178299923,0,arroyomolinos,1.3488351296855237,0.14602267879901462,1.142115298034638,1.9962013372781435,300.0,226992.9905368,4342197.56295756
Monroy,33,33,21777.10908562233,33,33,31434.0822855,1.4434460589745308,0,monroy,1.4316761257824149,0.1805703976559856,1.1613211962012837,2.176551201428617,300.0,224533.575338051,4392551.16427245
Torno. El,23,22,14322.686959344876,22,22,27644.0311796,1.9300869493320578,0,el torno,1.5989210326526813,0.8966661618117642,1.1377720342205502,9.793767916248289,300.0,249199.714167338,4447102.20935181
Cumbre. La,19,19,10567.003584538885,19,19,20891.9975859,1.9770976151146702,0,la cumbre,1.352312896817504,0.20364516243698705,1.0629272207397662,2.5469739644701783,300.0,243850.321308637,4366024.48843899
Hoyos,20,20,14526.576842882252,31,31,25783.6229247,1.774927651818638,1,hoyos,1.3243396473741385,0.16558977074919592,1.101188181376813,2.277648804398789,300.0,183265.869928794,4453538.00650102
Mohedas de Granadilla,21,21,13521.455979529428,21,21,30008.8411548,2.219349839265192,0,mohedas de granadilla,1.3717506258432666,0.2674480865370272,1.0650343776358018,3.5934342841978126,300.0,227852.15779621,4462630.15074041
Perales del Puerto,20,20,11830.765635950713,31,31,25448.2233326,2.15102083125282,1,perales del puerto,1.381299365805249,0.20135176518196854,1.1770019011890833,2.5721933830274004,300.0,186517.546217554,4451492.44830636
TalavÂ n,30,30,11503.561878726729,30,30,25306.5839986,2.1998911524437386,0,talava n,,,,,,218819.918215795,4401535.21950308
San MartÃ­n de Trevejo,20,20,21561.6702646914,31,31,46388.7862436,2.15144678840417,1,san martan de trevejo,,,,,,177078.713261357,4458450.81064899
Cuacos de Yuste,28,22,6862.607009583779,26,22,11322.1571708,1.6498332419426558,0,cuacos de yuste,1.4352483425408926,0.476525343118962,1.132642450689846,4.098255278121686,300.0,267948.885869374,4443172.42589066
Tejeda de TiÃ©tar,26,22,9898.923104984317,26,22,17037.3644747,1.7211331267056038,0,tejeda de tiatar,,,,,,255349.499068985,4433922.6199855
AcehÃºche,24,24,14437.06024918586,24,24,17891.9673896,1.2393082165469917,0,acehaoche,,,,,,188957.500667981,4412262.99308666
Escurial,36,36,1370.087884870536,36,36,1692.7146992,1.2354789191935305,0,escurial,1.316387067858909,0.20075606517610967,1.0391402077533163,2.4291408707731987,300.0,250950.118086699,4339525.28529449
Garciaz,45,45,15767.218168747631,19,19,34366.4648052,2.1796149731293837,1,garciaz,1.480106657619727,0.36905089051953466,1.1179464267477366,3.789370784694944,300.0,273948.961556181,4366024.65582678
MembrÃ­o,39,39,19676.24975836937,39,39,25659.3274465,1.3040761202772244,0,membrao,,,,,,151598.569238402,4383166.76389869
Deleitosa,42,42,18111.14648102235,42,42,23054.1995663,1.2729287784435512,0,deleitosa,1.4231938182320947,0.39821312947955756,1.1008140738317158,5.119879808141114,300.0,273148.88080007,4391673.93279564
SantibÃ¡Ã±ez el Bajo,25,25,17461.596159566805,23,22,30573.1330807,1.7508784879296209,1,santibaaez el bajo,,,,,,225655.466002294,4452403.21949378
Saucedilla,35,27,4856.073682651335,37,27,5793.6562871,1.193074212979561,0,saucedilla,1.337506454689815,0.2384780437239271,1.0914172858786277,2.563543059363287,300.0,271198.865176824,4414923.2584327
Aldeanueva del Camino,23,22,577.3817666733554,23,22,818.1078529,1.4169270664946918,0,aldeanueva del camino,1.4997891925662394,0.8134471882183343,1.085528778482373,9.619773105226052,300.0,251049.574443973,4460821.82356145
AlbalÃ¡,41,41,3052.972311394364,41,41,3352.3452586,1.0980595028943794,0,albala,,,,,,225260.73621506,4350080.78678411
Aldeacentenera,40,19,19804.4193632345,19,19,35411.321204,1.7880514724778351,0,aldeacentenera,1.6249051968844506,0.6345658290443706,1.163984167514782,5.04777761833157,300.0,274048.898763263,4378694.3022978
Casas del Monte,23,22,7487.486940701435,23,22,9582.7239895,1.2798318134498519,0,casas del monte,1.5318824461208302,0.8134355195553123,1.1013285293981099,7.500583278362632,300.0,248049.732461159,4454571.98283667
Valdeobispo,25,25,10673.82814002655,29,29,19056.0859796,1.785309425035637,1,valdeobispo,1.4016572542005168,0.3114981699857942,1.1202880642460693,3.097875225402875,300.0,223250.349381218,4442039.54555822
Holguera,30,30,12080.71724205791,29,29,25914.8423044,2.1451410363434262,1,holguera,1.3891095651762664,0.27000485186400874,1.0804775685118362,3.4630368989598597,300.0,213780.071295096,4422025.3804551
Mirabel,33,33,10439.875515780264,33,33,12777.3871296,1.2239022496280247,0,mirabel,1.3860494975859425,0.1958685577595793,1.1020659629442067,2.288949064737373,300.0,223548.219866537,4417458.24855143
Aldea del Cano,41,41,14189.116902632792,46,46,29619.2696396,2.0874639234316366,1,aldea del cano,1.339050123536791,0.26185683142083405,1.08320485617626,4.926023778422449,300.0,213902.317839646,4354143.30760572
BaÃ±os de Montemayor,23,22,8156.797554149127,22,22,38356.7927253,4.702432844589726,0,baaos de montemayor,,,,,,257299.260101588,4466921.68593564
Navezuelas,42,42,13299.67565016626,45,45,33337.9782234,2.5066760348387325,1,navezuelas,1.4961096719411406,0.4628963191620537,1.1608762563047337,5.396120453410487,300.0,290448.162580124,4376474.45611635
Casas de MillÃ¡n,30,30,4703.5596131421335,30,30,7551.8236784,1.6055550050433254,0,casas de millan,,,,,,215185.378195817,4412807.24982394
Salorino,39,39,20658.62619643901,39,39,30206.4094786,1.46216932294398,0,salorino,1.3225014995511992,0.11783757558650097,1.0733493081088008,1.835495288740854,300.0,155443.681668608,4377642.62000894
Torrecilla de los Ãngeles,31,31,9239.961874245764,31,31,20025.2562,2.167244461886334,0,torrecilla de los angeles,,,,,,209289.435653197,4460931.25197314
Acebo,20,20,17744.29223587298,31,31,27681.7909556,1.560039171336276,1,acebo,1.3453881833528367,0.19026360372423307,1.1605513532016343,2.9079978990766056,300.0,183700.848145878,4456999.10438254
Santiago de AlcÃ¡ntara,39,39,21221.21621017572,39,39,27010.5247826,1.272807576864905,0,santiago de alcantara,,,,,,135786.362476766,4392803.42490684
PasarÃ³n de la Vera,26,22,6490.492971229924,26,22,13178.0344126,2.0303595537370733,0,pasara3n de la vera,,,,,,259549.28863515,4437422.54991167
Villamiel,20,20,18507.396341966763,31,31,38401.6876267,2.0749373340874313,1,villamiel,1.3423049587471148,0.1885354494884338,1.151633863708234,2.9079978990766056,300.0,177977.54759196,4455430.75479671
Villar del Pedroso,42,42,22228.37196587487,34,27,49609.5430012,2.2318118068818027,1,villar del pedroso,1.4803009088063546,0.3950036450541134,1.0640682957107896,4.2139047485974706,300.0,311947.097828512,4397623.97483551
BelvÃ­s de Monroy,37,27,6583.034663451048,34,27,11493.7538129,1.7459658653649848,0,belvas de monroy,,,,,,276848.625432829,4411073.39739727
Casas del CastaÃ±ar,22,22,15465.778658437011,29,29,27261.9764648,1.7627289945681353,1,casas del castaaar,,,,,,252549.576689912,4443922.31833075
Torre de Santa MarÃ­a,41,41,5479.366771094007,41,41,7864.2578322,1.4352493929932395,0,torre de santa maraa,,,,,,231211.70476662,4349585.44287673
Guijo de Granadilla,29,29,21025.916153106205,23,22,25566.8397761,1.2159679316671752,1,guijo de granadilla,1.3823946329560604,0.2849524473842844,1.0650343776358018,3.368331723058904,300.0,230886.51760396,4454154.21447522
Torremenga,26,22,3021.9048427077173,26,22,7071.1937142,2.3399789478030018,0,torremenga,1.416918097331863,0.3415083848970828,1.1687712369084269,2.8900686503462225,300.0,263499.114225348,4436772.58027036
Zarza de MontÃ¡nchez,41,41,12503.93132163728,41,41,18558.496492,1.4842129258888097,0,zarza de montanchez,,,,,,238519.027172623,4349751.74234226
Aceituna,25,25,9709.826305581346,25,25,11263.3355364,1.1599935139854844,0,aceituna,1.3922105490376886,0.2973359268278123,1.0779024115948288,4.43077800127373,300.0,216351.079749259,4449724.48146156
TorrejÃ³n el Rubio,33,33,11054.636693149245,33,33,21985.0892803,1.9887663331283016,0,torreja3n el rubio,,,,,,242119.660784559,4406688.05533202
Torrequemada,41,41,15650.38657409956,41,41,25042.2576295,1.6001047329363363,0,torrequemada,1.3448593244974278,0.152449828551468,1.0477395174037458,2.2394597638551947,300.0,222673.6496288,4362431.93552581
Jaraicejo,37,27,19226.83555656172,37,27,29056.1268469,1.51122771926885,0,jaraicejo,1.4538262392736507,0.261313599254105,1.229657793886869,3.4050645986855077,300.0,258849.518455894,4394623.76232495
Valverde de la Vera,28,22,12863.92354244124,28,22,19646.468682,1.5272532223299897,0,valverde de la vera,1.4556316534299234,0.3631170578051524,1.1499657738623361,3.9522317252608463,300.0,287607.981058062,4444522.49170646
Torre de Don Miguel,31,31,6548.229459226297,31,31,14210.0615151,2.170061633237114,0,torre de don miguel,1.3510438067793222,0.19823958285634613,1.1454166154897818,2.7298688943893876,300.0,195790.491568247,4458837.83787277
Pozuelo de ZarzÃ³n,25,25,9773.428966490452,25,25,11772.6759989,1.2045594273273221,0,pozuelo de zarza3n,,,,,,209244.514369259,4449904.50353529
Villa del Campo,25,25,9605.555965215715,25,25,12900.2415673,1.34299790808728,0,villa del campo,1.3085235017825128,0.16058367343789265,1.122090533206227,2.1058868999605953,300.0,208145.841433061,4449226.79993895
Plasenzuela,19,19,17218.687581036513,41,41,29174.0672986,1.694325839951375,1,plasenzuela,1.4055016735334678,0.1979451622299072,1.0707363600355273,2.9440228774982646,300.0,237613.198187442,4363712.78672427
Bohonal de Ibor,34,27,12724.499952270511,34,27,19946.4381631,1.5675616517677642,0,bohonal de ibor,1.4177913717955175,0.2708289107770065,1.1129036152588163,2.997606464367869,300.0,287368.163738556,4406923.5705371
Berzocana,45,45,12138.367411359532,45,45,18528.878601,1.5264720512298873,0,berzocana,1.4229722531284998,0.3508827021605654,1.1711724249451458,4.3096951312806695,300.0,288348.295763909,4368324.67079457
Casares de las Hurdes,21,21,9100.431778671636,21,21,13692.619086,1.5046120249031385,0,casares de las hurdes,1.5416844631757611,0.42195480310406863,1.1932576353714095,5.888240778903794,300.0,221371.057569754,4481888.12377618
HernÃ¡n-PÃ©rez,31,31,7998.944901234248,31,31,14151.0031884,1.7691087216035806,0,hernan parez,,,,,,205345.70659261,4457187.57870841
Villanueva de la Sierra,31,31,12478.860085144168,25,25,18672.2166128,1.4963078747095575,1,villanueva de la sierra,1.3180900979117782,0.18195936620551534,1.124421163450141,2.5709184625535935,300.0,210245.407326792,4455802.80618844
Cadalso,31,31,3523.9995201648435,31,31,3909.3162698,1.109340749744805,0,cadalso,1.3288723590888427,0.2011347565046108,1.111456154328886,3.0387414504838497,300.0,199014.667243361,4460243.94910607
Navalvillar de Ibor,42,42,5661.413559494457,42,42,8478.2541277,1.4975507509924917,0,navalvillar de ibor,1.4662499073283901,0.431928429702379,1.2003985315788996,5.396120453410487,300.0,292978.017186314,4384394.24611259
Arroyomolinos de la Vera,26,22,9302.83188412552,26,22,18566.5306637,1.9957934202145673,0,arroyomolinos de la vera,1.43734430287879,0.33268673433195256,1.1464378490296443,3.2582104522345636,300.0,256589.422105721,4437722.52246913
Cedillo,39,39,34271.05576488202,39,39,45472.1296677,1.3268377250955852,0,cedillo,1.3602436518596503,0.15585990189845092,1.1262635297811263,2.011518703013052,300.0,114594.404423581,4398588.2479557
Garganta. La,23,22,11306.4723927699,22,22,44700.1641144,3.9535022561930298,0,la garganta,1.975261333136848,1.054237261144666,1.264926249726271,9.636685554422263,300.0,260299.119549831,4468271.66171931
Ibahernando,19,19,13659.347682736863,19,19,15488.2319235,1.1338925022806572,0,ibahernando,1.4296832541718478,0.32691586130305367,1.0551409269231462,4.136816309636482,300.0,248550.150480377,4357024.77379878
Calzadilla,20,20,11210.223071979295,20,20,17996.3878518,1.605355017134599,0,calzadilla,1.307313542929845,0.1924285405158227,1.1065346440768609,2.5721933830274004,300.0,198944.039693026,4440673.45992731
Barrado,26,22,12873.481429506111,26,22,25686.6011735,1.995311160711051,0,barrado,1.4822959719823001,0.45540879217268515,1.1552675206966396,4.316641030386458,300.0,254449.50373271,4441322.40490999
Casillas de Coria,20,20,9380.915089935264,32,20,17448.3347193,1.8599821608043579,0,casillas de coria,1.3814698140546324,0.3969087812859093,1.0948250842125542,5.467558113992408,300.0,189584.538383011,4430524.07910796
Villasbuenas de Gata,31,31,13048.735764023562,31,31,16532.1082144,1.266950953208845,0,villasbuenas de gata,1.3766844378179017,0.2149611341450102,1.124027128261845,2.544354724092837,300.0,191422.444789474,4454018.88941824
Valdelacasa de Tajo,42,42,16812.977447394776,34,27,41075.3962838,2.4430768679919193,1,valdelacasa de tajo,1.5224490651421752,0.41445138371179086,1.11818512744864,4.470801193806677,300.0,304547.417510919,4399923.86643752
Abertura,36,36,11734.124920563834,36,36,15500.3981773,1.3209675439994544,0,abertura,1.3506601745565447,0.25554355266610945,1.0809514755909508,2.779948107402762,300.0,257299.792241677,4347725.08160208
Palomero,21,21,17307.945081603146,25,25,31917.6789183,1.844105627087166,1,palomero,1.411774099963647,0.27006092577481755,1.1585960914294884,3.144045715554093,300.0,221429.08324726,4460308.76551349
SerrejÃ³n,37,27,10174.787801348648,37,27,13653.2214313,1.3418679286353563,0,serreja3n,,,,,,260249.372436821,4411273.29873146
Hinojal,30,30,9295.063029221928,30,30,18625.0877309,2.0037613163403227,0,hinojal,1.3450931306015286,0.18384720193374607,1.0385894953277093,2.267755727729498,300.0,212285.570912956,4400970.7487014
Gargantilla,23,22,1678.247382225155,23,22,4720.4870415,2.812748043879681,0,gargantilla,1.5629303240747936,0.8979550433476241,1.1225992966423985,9.636685554422263,300.0,251849.540345749,4459621.86103201
SantibÃ¡Ã±ez el Alto,31,31,9266.97188682358,31,31,11649.8587185,1.2571375915216245,0,santibaaez el alto,,,,,,198133.951756585,4454497.14804085
CabaÃ±as del Castillo,42,42,11354.539898070025,42,42,32688.8864477,2.878926556350932,0,cabaaas del castillo,,,,,,284368.4233701,4380654.2981979
Robledillo de Trujillo,36,36,14204.48833736106,41,41,23422.6469199,1.6489609737151227,1,robledillo de trujillo,1.3871635813586989,0.25155247297337713,1.0795441023450922,2.779948107402762,300.0,243050.424371173,4350924.91327921
Cabezabellosa,23,22,15545.642468810362,23,22,26698.1868299,1.7174064618728553,0,cabezabellosa,1.5902263266082357,0.7919847119134914,1.15343629365918,9.793767916248289,300.0,244313.818262083,4447431.83873398
