municipio,plant_id,distance_km,produccion,C_trans,C_trat,C_tot
Villar del Rey,18,27.7184,1193.0000,9.7015,2.7414,12.4428
Granja de Torrehermosa,10,56.1860,1188.5000,19.6651,6.1370,25.8021
Medell¡n,3,17.0511,1168.5000,5.9679,3.8909,9.8588
Bienvenida,10,36.9316,1163.0000,12.9261,6.1370,19.0630
Codosera. La,39,35.3945,1161.0000,12.3881,8.6082,20.9963
Valencia del Ventoso,8,24.6661,1124.5000,8.6331,8.7255,17.3586
Coronada. La,3,5.4386,1119.5000,1.9035,3.8909,5.7944
Torremej¡a,14,16.0682,1114.0000,5.6239,3.4837,9.1075
Siruela,11,3.6874,1096.0000,1.2906,8.2025,9.4931
Higuera de Vargas,13,34.6033,1077.0000,12.1111,5.9249,18.0360
Segura de León,8,11.3611,1070.0000,3.9764,8.7255,12.7019
Salvaleón,13,39.7036,1024.5000,13.8963,5.9249,19.8211
Pueblonuevo del Guadiana,18,17.6427,1009.0000,6.1749,2.7414,8.9163
Alange,14,24.9668,1002.5000,8.7384,3.4837,12.2220
Puebla de Obando,18,43.6671,994.0000,15.2835,2.7414,18.0249
Albuera. La,13,27.1525,993.0000,9.5034,5.9249,15.4282
Usagre,9,38.5057,978.0000,13.4770,3.1868,16.6638
Fuenlabrada de los Montes,11,33.6180,977.5000,11.7663,8.2025,19.9688
Alconchel,13,22.2740,975.5000,7.7959,5.9249,13.7207
Oliva de Mérida,3,38.7077,937.5000,13.5477,3.8909,17.4386
Salvatierra de los Barros,9,26.7646,894.0000,9.3676,3.1868,12.5544
Villalba de los Barros,9,14.8896,827.0000,5.2114,3.1868,8.3982
Casas de Don Pedro,11,33.4893,816.0000,11.7213,8.2025,19.9238
Esparragalejo,14,13.4995,790.0000,4.7248,3.4837,8.2085
Montemolín,10,28.4239,767.0000,9.9484,6.1370,16.0853
Roca de la Sierra. La,18,34.5852,763.0000,12.1048,2.7414,14.8462
Campillo de Llerena,10,42.7350,759.0000,14.9573,6.1370,21.0942
Cabeza la Vaca,8,23.3038,739.5000,8.1563,8.7255,16.8818
Villar de Rena,3,19.6757,728.5000,6.8865,3.8909,10.7774
Trujillanos,14,16.6223,719.5000,5.8178,3.4837,9.3015
Valle de la Serena,6,30.6177,712.5000,10.7162,7.8224,18.5386
Parra. La,9,19.4511,695.0000,6.8079,3.1868,9.9947
Mirandilla,14,18.4701,688.5000,6.4645,3.4837,9.9482
Haba. La,3,11.6530,683.5000,4.0786,3.8909,7.9695
Villagonzalo,14,35.5700,674.0000,12.4495,3.4837,15.9332
Feria,9,14.7155,670.5000,5.1504,3.1868,8.3372
Medina de las Torres,9,24.2524,669.0000,8.4883,3.1868,11.6752
Valdetorres,3,28.4562,665.5000,9.9597,3.8909,13.8506
Almendral,13,25.5615,653.5000,8.9465,5.9249,14.8714
Corte de Peleas,9,35.6324,653.5000,12.4713,3.1868,15.6582
Cheles,13,30.6502,643.5000,10.7276,5.9249,16.6524
Puebla de Alcocer,11,21.4161,636.0000,7.4956,8.2025,15.6981
Torre de Miguel Sesmero,13,28.3359,628.5000,9.9176,5.9249,15.8424
Valdecaballeros,11,67.2698,609.0000,23.5444,8.2025,31.7470
Peñalsordo,7,18.0750,605.0000,6.3263,11.4442,17.7704
Valle de Santa Ana,9,49.4312,596.0000,17.3009,3.1868,20.4878
Valverde de Mérida,14,27.9147,579.5000,9.7702,3.4837,13.2538
Castilblanco,11,57.6631,575.5000,20.1821,8.2025,28.3846
Bodonal de la Sierra,8,7.2598,569.5000,2.5409,8.7255,11.2664
Nava de Santiago. La,14,36.0383,544.5000,12.6134,3.4837,16.0971
Esparragosa de la Serena,6,12.6402,544.0000,4.4241,7.8224,12.2464
Maguilla,10,26.0819,542.0000,9.1287,6.1370,15.2656
Calera de León,8,32.7999,530.0000,11.4800,8.7255,20.2055
Ahillones,10,20.3417,526.0000,7.1196,6.1370,13.2565
Higuera de la Serena,6,21.6640,521.5000,7.5824,7.8224,15.4048
Esparragosa de Lares,11,25.6645,510.5000,8.9826,8.2025,17.1851
Torremayor,14,23.1203,502.0000,8.0921,3.4837,11.5758
Villagarcía de la Torre,10,43.0396,493.0000,15.0639,6.1370,21.2008
Cordobilla de Lácara,41,30.9552,483.5000,10.8343,8.7995,19.6338
Benquerencia de la Serena,6,9.6783,474.0000,3.3874,7.8224,11.2098
Llera,10,30.3547,473.5000,10.6241,6.1370,16.7611
San Pedro de Mérida,14,23.2628,440.0000,8.1420,3.4837,11.6256
Calzadilla de los Barros,9,32.4265,431.5000,11.3493,3.1868,14.5361
Puebla de la Reina,9,44.3854,430.0000,15.5349,3.1868,18.7217
Acedera,3,33.9107,410.5000,11.8688,3.8909,15.7597
Táliga,13,23.1371,400.5000,8.0980,5.9249,14.0228
Valencia del Mombuey,13,79.5663,391.0000,27.8482,5.9249,33.7731
Puebla del Maestre,10,24.4543,388.5000,8.5590,6.1370,14.6960
Manchita,3,45.8323,382.0000,16.0413,3.8909,19.9322
Morera. La,9,23.2961,376.0000,8.1536,3.1868,11.3405
Fuente del Arco,10,16.8628,375.0000,5.9020,6.1370,12.0389
Don Álvaro,14,36.7864,371.5000,12.8752,3.4837,16.3589
Alconera,9,23.7918,368.5000,8.3271,3.1868,11.5140
Nogales,9,32.9618,362.0000,11.5366,3.1868,14.7235
Helechosa de los Montes,11,86.4949,358.0000,30.2732,8.2025,38.4757
Valverde de Llerena,10,28.3102,357.0000,9.9086,6.1370,16.0455
Palomas,9,40.6392,350.5000,14.2237,3.1868,17.4105
Trasierra,10,6.9134,345.5000,2.4197,6.1370,8.5567
Valencia de las Torres,10,23.7059,343.5000,8.2971,6.1370,14.4340
Garlitos,11,20.6672,340.5000,7.2335,8.2025,15.4360
Rena,3,16.8589,334.5000,5.9006,3.8909,9.7915
Malpartida de la Serena,6,11.8854,331.0000,4.1599,7.8224,11.9823
Peraleda del Zaucejo,6,41.3400,304.0000,14.4690,7.8224,22.2914
Magacela,3,12.5032,303.5000,4.3761,3.8909,8.2670
Entrín Bajo,9,39.2350,301.0000,13.7322,3.1868,16.9191
Villarta de los Montes,11,117.1307,293.5000,40.9957,8.2025,49.1983
Carmonita,41,20.9655,290.5000,7.3379,8.7995,16.1375
Cristina,3,34.6125,281.0000,12.1144,3.8909,16.0053
Hinojosa del Valle,9,32.5842,279.0000,11.4045,3.1868,14.5913
Garbayuela,11,15.1058,273.5000,5.2870,8.2025,13.4895
Puebla del Prior,9,27.9227,272.5000,9.7730,3.1868,12.9598
Retamal de Llerena,6,35.9398,250.5000,12.5789,7.8224,20.4013
Mengabril,3,11.6365,243.5000,4.0728,3.8909,7.9637
Malcocinado,10,54.9020,224.5000,19.2157,6.1370,25.3527
Valle de Matamoros,13,48.6008,211.5000,17.0103,5.9249,22.9351
Zarza-Capilla,7,12.8817,201.5000,4.5086,11.4442,15.9527
Higuera de Llerena,10,19.9945,176.5000,6.9981,6.1370,13.1350
Baterno,11,17.1362,176.0000,5.9977,8.2025,14.2002
Atalaya,9,28.5237,169.0000,9.9833,3.1868,13.1701
Valverde de Burguillos,8,26.7906,161.0000,9.3767,8.7255,18.1022
Orellana de la Sierra,3,31.0686,155.5000,10.8740,3.8909,14.7649
Lapa. La,9,20.7651,148.0000,7.2678,3.1868,10.4546
Tamurejo,11,15.3650,129.5000,5.3778,8.2025,13.5803
Aljucén,14,23.9406,126.0000,8.3792,3.4837,11.8629
Sancti-Spíritus,11,8.1227,118.5000,2.8430,8.2025,11.0455
Reina,10,11.1755,100.5000,3.9114,6.1370,10.0484
Casas de Reina,10,8.3430,98.0000,2.9201,6.1370,9.0570
Capilla,7,21.4285,93.5000,7.5000,11.4442,18.9441
Risco,11,11.7314,83.0000,4.1060,8.2025,12.3085
Carrascalejo. El,27,55.6994,168.5000,19.4948,6.0773,25.5721
C ceres,46,11.2340,46565.5000,3.9319,3.4382,7.3701
Plasencia,29,5.7155,20574.0000,2.0004,5.1461,7.1466
Navalmoral de la Mata,27,7.2448,8614.0000,2.5357,6.0773,8.6130
Coria,20,7.6267,6448.0000,2.6693,7.3539,10.0232
Miajadas,36,2.7776,5169.0000,0.9721,8.7898,9.7620
Trujillo,19,10.9589,4911.0000,3.8356,8.4026,12.2383
Talayuela,27,4.0222,4611.0000,1.4078,6.0773,7.4850
Moraleja,20,3.0866,3999.0000,1.0803,7.3539,8.4342
Arroyo de la Luz,46,22.8085,3258.5000,7.9830,3.4382,11.4212
Jara¡z de la Vera,22,4.7545,3233.5000,1.6641,5.6516,7.3157
Valencia de Alc ntara,39,2.5945,3089.0000,0.9081,8.6082,9.5163
Montehermoso,25,3.9119,2899.5000,1.3692,8.6377,10.0069
Casar de Cáceres,46,5.9938,2439.5000,2.0978,3.4382,5.5360
Malpartida de Plasencia,29,11.5054,2313.5000,4.0269,5.1461,9.1730
Malpartida de Cáceres,46,14.9192,2234.5000,5.2217,3.4382,8.6599
Hervás,22,30.2172,2063.0000,10.5760,5.6516,16.2276
Torrejoncillo,29,36.4989,1669.0000,12.7746,5.1461,17.9208
Jarandilla de la Vera,22,3.3435,1564.5000,1.1702,5.6516,6.8218
Alcuéscar,41,9.2274,1505.0000,3.2296,8.7995,12.0291
Losar de la Vera,22,6.8176,1483.0000,2.3861,5.6516,8.0377
Madroñera,19,15.5799,1458.0000,5.4530,8.4026,13.8556
Valverde del Fresno,31,47.3763,1254.5000,16.5817,8.8136,25.3953
Garrovillas de Alconétar,44,27.8039,1140.0000,9.7314,9.6740,19.4054
Aldeanueva de la Vera,22,8.3083,1137.5000,2.9079,5.6516,8.5595
Cabezuela del Valle,22,5.5061,1064.5000,1.9271,5.6516,7.5787
Brozas,44,2.9470,1061.5000,1.0315,9.6740,10.7055
Villanueva de la Vera,22,22.7405,1054.0000,7.9592,5.6516,13.6108
Guadalupe,45,29.2546,1048.0000,10.2391,8.6534,18.8925
Logrosán,45,1.6342,1045.0000,0.5720,8.6534,9.2253
Sierra de Fuentes,46,21.8591,1042.5000,7.6507,3.4382,11.0889
Navaconcejo,22,8.5443,1037.0000,2.9905,5.6516,8.6421
Ceclavín,20,26.9120,1027.0000,9.4192,7.3539,16.7731
Montánchez,41,2.7051,1020.0000,0.9468,8.7995,9.7463
Almoharín,36,13.6985,998.5000,4.7945,8.7898,13.5843
Aliseda,46,32.4126,991.0000,11.3444,3.4382,14.7826
Galisteo,29,16.0670,984.0000,5.6234,5.1461,10.7696
Madrigalejo,45,40.5956,976.5000,14.2085,8.6534,22.8618
Cilleros,31,36.7426,934.0000,12.8599,8.8136,21.6735
Zarza de Granadilla,22,12.1692,932.0000,4.2592,5.6516,9.9108
Madrigal de la Vera,22,32.2220,909.5000,11.2777,5.6516,16.9293
Cañamero,45,11.8755,893.5000,4.1564,8.6534,12.8098
Serradilla,29,32.9451,883.0000,11.5308,5.1461,16.6769
Torreorgaz,46,24.3017,882.0000,8.5056,3.4382,11.9438
Pinofranqueado,21,20.3613,843.5000,7.1264,9.3783,16.5048
Zorita,45,22.3224,836.5000,7.8129,8.6534,16.4662
Gata,31,18.1474,831.0000,6.3516,8.8136,15.1652
Alcántara,44,18.0937,826.5000,6.3328,9.6740,16.0068
Guijo de Galisteo,25,8.5064,805.5000,2.9772,8.6377,11.6150
Piornal,22,24.3700,768.5000,8.5295,5.6516,14.1811
Ahigal,22,26.8394,728.5000,9.3938,5.6516,15.0454
Peraleda de la Mata,27,20.2591,726.5000,7.0907,6.0773,13.1680
Navas del Madro¤o,44,14.2481,722.0000,4.9868,9.6740,14.6609
Nuñomoral,21,5.9515,717.5000,2.0830,9.3783,11.4614
Valdefuentes,41,11.1289,707.5000,3.8951,8.7995,12.6946
Zarza la Mayor,20,28.4585,704.5000,9.9605,7.3539,17.3144
Casatejada,27,3.2326,699.5000,1.1314,6.0773,7.2087
Casar de Palomero,21,22.8992,689.0000,8.0147,9.3783,17.3931
Jerte,22,5.6127,666.0000,1.9644,5.6516,7.6160
Almaraz,27,1.2109,660.5000,0.4238,6.0773,6.5011
Majadas,27,8.7718,648.5000,3.0701,6.0773,9.1474
Cañaveral,20,29.8681,642.0000,10.4538,7.3539,17.8078
Rosalejo,27,27.3059,642.0000,9.5571,6.0773,15.6343
Caminomorisco,21,15.5348,629.0000,5.4372,9.3783,14.8155
Riolobos,29,21.3485,628.5000,7.4720,5.1461,12.6181
Casta¤ar de Ibor,27,41.1503,612.5000,14.4026,6.0773,20.4799
Tornavacas,22,12.6935,590.5000,4.4427,5.6516,10.0943
Torrecillas de la Tiesa,19,18.4863,589.5000,6.4702,8.4026,14.8729
Pesga. La,21,41.7741,561.5000,14.6209,9.3783,23.9993
Carcaboso,29,14.2418,554.0000,4.9846,5.1461,10.1308
Garganta la Olla,22,13.3687,531.0000,4.6790,5.6516,10.3306
Torremocha,41,20.3162,519.0000,7.1107,8.7995,15.9102
Eljas,31,48.3404,516.5000,16.9191,8.8136,25.7328
Campo Lugar,36,14.2870,515.0000,5.0004,8.7898,13.7903
Al¡a,45,39.3957,510.5000,13.7885,8.6534,22.4419
Arroyomolinos,41,8.4681,499.5000,2.9638,8.7995,11.7633
Monroy,46,37.3759,497.0000,13.0816,3.4382,16.5198
Torno. El,22,27.6440,494.0000,9.6754,5.6516,15.3270
Cumbre. La,19,20.8920,491.0000,7.3122,8.4026,15.7148
Hoyos,31,25.7836,488.0000,9.0243,8.8136,17.8379
Mohedas de Granadilla,21,30.0088,488.0000,10.5031,9.3783,19.8814
Perales del Puerto,31,25.4482,485.0000,8.9069,8.8136,17.7205
Talav n,46,33.2239,461.5000,11.6284,3.4382,15.0666
San Martín de Trevejo,31,46.3888,458.0000,16.2361,8.8136,25.0497
Cuacos de Yuste,22,11.3222,457.5000,3.9628,5.6516,9.6143
Tejeda de Tiétar,22,17.0374,443.5000,5.9631,5.6516,11.6147
Acehúche,20,28.8354,426.0000,10.0924,7.3539,17.4463
Escurial,36,1.6927,425.5000,0.5925,8.7898,9.3823
Garciaz,19,34.3665,425.5000,12.0283,8.4026,20.4309
Membrío,39,25.6593,425.5000,8.9808,8.6082,17.5889
Deleitosa,27,27.3501,419.0000,9.5725,6.0773,15.6498
Santibáñez el Bajo,22,30.5731,414.5000,10.7006,5.6516,16.3522
Saucedilla,27,5.7937,402.0000,2.0278,6.0773,8.1050
Aldeanueva del Camino,22,0.8181,400.0000,0.2863,5.6516,5.9379
Albalá,41,3.3523,399.0000,1.1733,8.7995,9.9728
Aldeacentenera,19,35.4113,387.0000,12.3940,8.4026,20.7966
Casas del Monte,22,9.5827,383.0000,3.3540,5.6516,9.0055
Valdeobispo,29,19.0561,380.5000,6.6696,5.1461,11.8158
Holguera,29,25.9148,379.0000,9.0702,5.1461,14.2163
Mirabel,29,21.9504,365.0000,7.6826,5.1461,12.8288
Aldea del Cano,46,29.6193,360.5000,10.3667,3.4382,13.8049
Baños de Montemayor,22,38.3568,351.5000,13.4249,5.6516,19.0765
Navezuelas,45,33.3380,349.0000,11.6683,8.6534,20.3217
Casas de Millán,29,36.7409,345.0000,12.8593,5.1461,18.0055
Salorino,39,30.2064,344.5000,10.5722,8.6082,19.1804
Torrecilla de los Ángeles,31,20.0253,343.5000,7.0088,8.8136,15.8225
Acebo,31,27.6818,342.5000,9.6886,8.8136,18.5023
Santiago de Alcántara,39,27.0105,342.5000,9.4537,8.6082,18.0619
Pasarón de la Vera,22,13.1780,338.5000,4.6123,5.6516,10.2639
Villamiel,31,38.4017,337.5000,13.4406,8.8136,22.2542
Villar del Pedroso,27,49.6095,336.5000,17.3633,6.0773,23.4406
Belvís de Monroy,27,11.4938,335.0000,4.0228,6.0773,10.1001
Casas del Castañar,29,27.2620,319.5000,9.5417,5.1461,14.6878
Torre de Santa María,41,7.8643,316.0000,2.7525,8.7995,11.5520
Guijo de Granadilla,22,25.5668,312.5000,8.9484,5.6516,14.6000
Torremenga,22,7.0712,310.5000,2.4749,5.6516,8.1265
Zarza de Montánchez,41,18.5585,309.5000,6.4955,8.7995,15.2950
Aceituna,25,11.2633,308.5000,3.9422,8.6377,12.5799
Torrejón el Rubio,19,40.7589,307.0000,14.2656,8.4026,22.6683
Torrequemada,41,25.0423,302.0000,8.7648,8.7995,17.5643
Jaraicejo,27,29.0561,295.0000,10.1696,6.0773,16.2469
Valverde de la Vera,22,19.6465,294.0000,6.8763,5.6516,12.5279
Torre de Don Miguel,31,14.2101,284.0000,4.9735,8.8136,13.7871
Pozuelo de Zarzón,25,11.7727,282.0000,4.1204,8.6377,12.7582
Villa del Campo,25,12.9002,277.5000,4.5151,8.6377,13.1528
Plasenzuela,41,29.1741,269.0000,10.2109,8.7995,19.0104
Bohonal de Ibor,27,19.9464,267.5000,6.9813,6.0773,13.0585
Berzocana,45,18.5289,264.0000,6.4851,8.6534,15.1385
Casares de las Hurdes,21,13.6926,264.0000,4.7924,9.3783,14.1707
Hernán-Pérez,31,14.1510,259.0000,4.9529,8.8136,13.7665
Villanueva de la Sierra,25,18.6722,257.0000,6.5353,8.6377,15.1730
Cadalso,31,3.9093,253.0000,1.3683,8.8136,10.1819
Navalvillar de Ibor,27,48.2619,252.0000,16.8917,6.0773,22.9690
Arroyomolinos de la Vera,22,18.5665,248.5000,6.4983,5.6516,12.1499
Cedillo,39,45.4721,248.5000,15.9152,8.6082,24.5234
Garganta. La,22,44.7002,245.0000,15.6451,5.6516,21.2966
Ibahernando,19,15.4882,244.0000,5.4209,8.4026,13.8235
Calzadilla,20,17.9964,242.5000,6.2987,7.3539,13.6527
Barrado,22,25.6866,238.5000,8.9903,5.6516,14.6419
Casillas de Coria,20,17.4483,235.0000,6.1069,7.3539,13.4608
Villasbuenas de Gata,31,16.5321,228.0000,5.7862,8.8136,14.5999
Valdelacasa de Tajo,27,41.0754,227.5000,14.3764,6.0773,20.4537
Abertura,36,15.5004,227.0000,5.4251,8.7898,14.2150
Palomero,25,31.9177,226.0000,11.1712,8.6377,19.8089
Serrejón,27,13.6532,222.0000,4.7786,6.0773,10.8559
Hinojal,46,26.5424,220.5000,9.2898,3.4382,12.7280
Gargantilla,22,4.7205,220.0000,1.6522,5.6516,7.3038
Santibáñez el Alto,31,11.6499,218.0000,4.0775,8.8136,12.8911
Cabañas del Castillo,45,33.4845,211.5000,11.7196,8.6534,20.3729
Robledillo de Trujillo,41,23.4226,210.0000,8.1979,8.7995,16.9975
Cabezabellosa,22,26.6982,209.0000,9.3444,5.6516,14.9960
Morcillo,25,7.0003,209.0000,2.4501,8.6377,11.0878
Portaje,20,4.6164,207.5000,1.6157,7.3539,8.9697
Guijo de Santa Bárbara,22,8.1350,205.0000,2.8473,5.6516,8.4988
Robledollano,27,41.0972,201.0000,14.3840,6.0773,20.4613
Puerto de Santa Cruz,19,16.2934,196.5000,5.7027,8.4026,14.1053
Herreruela,44,37.6909,193.0000,13.1918,9.6740,22.8658
Valdastillas,22,19.2731,190.0000,6.7456,5.6516,12.3972
Cabrero,22,27.8005,184.5000,9.7302,5.6516,15.3818
Herguijuela,19,17.7271,183.0000,6.2045,8.4026,14.6071
Talaveruela de la Vera,22,18.5210,182.5000,6.4824,5.6516,12.1339
Granja. La,22,7.7760,180.5000,2.7216,5.6516,8.3732
Aldea del Obispo. La,19,15.8707,175.0000,5.5548,8.4026,13.9574
Casas de Don Gómez,20,11.1570,173.5000,3.9050,7.3539,11.2589
Aldehuela de Jerte,29,18.4301,169.0000,6.4505,5.1461,11.5967
Gordo. El,27,25.4810,169.0000,8.9183,6.0773,14.9956
Carrascalejo,27,55.6994,168.5000,19.4948,6.0773,25.5721
Mata de Alcántara,44,16.7367,165.0000,5.8579,9.6740,15.5319
Fresnedoso de Ibor,27,33.0917,164.5000,11.5821,6.0773,17.6594
Abadía,22,5.1397,162.5000,1.7989,5.6516,7.4505
Santa Cruz de Paniagua,25,22.3791,157.5000,7.8327,8.6377,16.4704
Villamesías,36,14.9147,155.5000,5.2201,8.7898,14.0100
Santa Marta de Magasca,19,30.4517,154.5000,10.6581,8.4026,19.0607
Santiago del Campo,46,27.6035,153.5000,9.6612,3.4382,13.0994
Robledillo de la Vera,22,7.3737,152.5000,2.5808,5.6516,8.2324
Salvatierra de Santiago,41,16.9232,151.0000,5.9231,8.7995,14.7227
Santa Ana,41,23.8511,149.5000,8.3479,8.7995,17.1474
Peraleda de San Román,27,29.9426,147.0000,10.4799,6.0773,16.5572
Oliva de Plasencia,29,15.5325,143.0000,5.4364,5.1461,10.5825
Herrera de Alcántara,39,47.1743,142.5000,16.5110,8.6082,25.1192
Santa Cruz de la Sierra,19,15.0822,135.0000,5.2788,8.4026,13.6814
Portezuelo,20,15.4047,134.0000,5.3916,7.3539,12.7456
Alcollarín,36,16.9913,133.0000,5.9469,8.7898,14.7368
Viandar de la Vera,22,17.6388,133.0000,6.1736,5.6516,11.8252
Millanes,27,6.1734,128.5000,2.1607,6.0773,8.2380
Marchagaz,21,29.7017,124.0000,10.3956,9.3783,19.7739
Rebollar,22,18.7922,118.5000,6.5773,5.6516,12.2288
Guijo de Coria,25,13.8485,115.5000,4.8470,8.6377,13.4847
Valdemorales,41,17.2140,115.0000,6.0249,8.7995,14.8244
Villar de Plasencia,22,19.2638,114.5000,6.7423,5.6516,12.3939
Ladrillar,21,22.2623,114.0000,7.7918,9.3783,17.1701
Carbajo,39,32.5025,113.5000,11.3759,8.6082,19.9840
Romangordo,27,11.1645,112.0000,3.9076,6.0773,9.9848
Casas de Don Antonio,41,22.4438,106.5000,7.8553,8.7995,16.6549
Valdehúncar,27,9.9152,106.0000,3.4703,6.0773,9.5476
Conquista de la Sierra,19,21.4418,105.0000,7.5046,8.4026,15.9073
Piedras Albas,44,28.1130,103.5000,9.8395,9.6740,19.5136
Collado,22,7.9814,100.5000,2.7935,5.6516,8.4451
Botija,41,31.0967,99.5000,10.8839,8.7995,19.6834
Huélaga,20,9.5492,98.0000,3.3422,7.3539,10.6961
Cerezo,22,30.4637,95.0000,10.6623,5.6516,16.3139
Descargamaría,31,6.0756,95.0000,2.1264,8.8136,10.9401
Segura de Toro,22,6.4228,93.0000,2.2480,5.6516,7.8996
Toril,27,10.2692,89.5000,3.5942,6.0773,9.6715
Mesas de Ibor,27,27.3883,86.5000,9.5859,6.0773,15.6632
Pescueza,20,12.3150,78.5000,4.3102,7.3539,11.6642
