mun_key,name,prod,plant_id,dist_km,cost
caamero,Cañamero,893.5000,45,11.8755,11.7630
serradilla,Serradilla,883.0000,29,32.9451,13.3916
torreorgaz,Torreorgaz,882.0000,46,24.3017,9.3015
pinofranqueado,Pinofranqueado,843.5000,31,30.4517,16.3171
zorita,Zorita,836.5000,45,22.3224,14.3748
gata,Gata,831.0000,31,18.1474,13.2410
alcntara,Alcántara,826.5000,46,59.5616,18.1165
guijo de galisteo,Guijo de Galisteo,805.5000,25,8.5064,10.6643
piornal,Piornal,768.5000,22,24.3700,11.3272
ahigal,Ahigal,728.5000,22,26.8394,11.9446
peraleda de la mata,Peraleda de la Mata,726.5000,27,20.2591,11.1420
navas del madroo,Navas del Madro¤o,722.0000,46,40.9936,13.4745
nuomoral,Nuñomoral,717.5000,22,65.3102,21.5623
valdefuentes,Valdefuentes,707.5000,41,11.1289,11.4139
zarza la mayor,Zarza la Mayor,704.5000,20,28.4585,14.5822
casatejada,Casatejada,699.5000,27,3.2326,6.8854
casar de palomero,Casar de Palomero,689.0000,22,43.0577,15.9992
jerte,Jerte,666.0000,22,5.6127,6.6379
almaraz,Almaraz,660.5000,27,1.2109,6.3800
majadas,Majadas,648.5000,27,8.7718,8.2702
caaveral,Cañaveral,642.0000,46,36.2117,12.2790
rosalejo,Rosalejo,642.0000,27,27.3059,12.9037
caminomorisco,Caminomorisco,629.0000,22,43.9893,16.2321
riolobos,Riolobos,628.5000,29,21.3485,10.4925
castaar de ibor,Casta¤ar de Ibor,612.5000,27,41.1503,16.3649
tornavacas,Tornavacas,590.5000,22,12.6935,8.4081
torrecillas de la tiesa,Torrecillas de la Tiesa,589.5000,19,18.4863,13.1233
pesga,Pesga. La,561.5000,22,42.7913,15.9326
carcaboso,Carcaboso,554.0000,29,14.2418,8.7158
garganta la olla,Garganta la Olla,531.0000,22,13.3687,8.5769
torremocha,Torremocha,519.0000,46,32.6225,11.3817
eljas,Eljas,516.5000,31,48.3404,20.7892
campo lugar,Campo Lugar,515.0000,3,33.7824,12.1698
ala,Al¡a,510.5000,45,39.3957,18.6431
arroyomolinos,Arroyomolinos,499.5000,41,8.4681,10.7487
monroy,Monroy,497.0000,46,37.3759,12.5701
torno,Torno. El,494.0000,22,27.6440,12.1458
cumbre,Cumbre. La,491.0000,19,20.8920,13.7247
hoyos,Hoyos,488.0000,31,25.7836,15.1500
mohedas de granadilla,Mohedas de Granadilla,488.0000,22,31.0260,12.9913
perales del puerto,Perales del Puerto,485.0000,31,25.4482,15.0662
talavn,Talav n,461.5000,46,33.2239,11.5321
san martn de trevejo,San Martín de Trevejo,458.0000,31,46.3888,20.3013
cuacos de yuste,Cuacos de Yuste,457.5000,22,11.3222,8.0653
tejeda de titar,Tejeda de Tiétar,443.5000,22,17.0374,9.4941
acehche,Acehúche,426.0000,20,28.8354,14.6764
escurial,Escurial,425.5000,36,1.6927,9.2566
garciaz,Garciaz,425.5000,19,34.3665,17.0934
membro,Membrío,425.5000,39,25.6593,15.1826
deleitosa,Deleitosa,419.0000,27,27.3501,12.9148
santibez el bajo,Santibáñez el Bajo,414.5000,22,30.5731,12.8780
saucedilla,Saucedilla,402.0000,27,5.7937,7.5257
aldeanueva del camino,Aldeanueva del Camino,400.0000,22,0.8181,5.4393
