mun,transport,total,prod,treatment
coria,3.2278746938262994,12.775428088844777,6448.0,9.547553395018477
coronada la,1.904,5.520188294117085,1119.5,3.6161882941170846
corte de peleas,9.152499999999998,16.247173741294674,653.5,7.094673741294676
cristina,12.113499999999998,15.729688294117082,281.0,3.6161882941170838
cuacos de yuste,4.301707325345689,45.17408994265612,457.5,40.87238261731043
cumbre la,7.3115,15.688492603085905,491.0,8.376992603085906
deleitosa,8.575068928596492,28.49825246967609,419.0,19.923183541079595
descargamara,2.1219526127575237,10.945992108994917,95.0,8.824039496237393
don benito,1.761723115207761,5.377911409324845,17895.5,3.616188294117084
don lvaro,12.876499999999997,16.946012688292374,371.5,4.069512688292377
eljas,16.6162999828547,25.499487257284112,516.5,8.883187274429414
entrn bajo,10.4125,17.507173741294675,301.0,7.094673741294676
escurial,0.5914999999999999,9.426580431051603,425.5,8.835080431051603
esparragalejo,4.759161057885254,8.827640855726754,790.0,4.0684797978415
esparragosa de la serena,4.4239999999999995,12.792655428969015,544.0,8.368655428969015
esparragosa de lares,8.998658647600758,17.6167655109396,510.5,8.618106863338843
feria,5.152,9.381298382382553,670.5,4.229298382382553
fregenal de la sierra,1.2084251111436868,10.04926115259162,2618.5,8.840836041447934
fresnedoso de ibor,6.0165,26.45942980032651,164.5,20.44292980032651
fuenlabrada de los montes,11.864744420174386,20.468160995808166,977.5,8.60341657563378
fuente de cantos,9.777493975798588,16.45081684938298,2519.5,6.673322873584393
fuente del arco,5.901,12.579378921613918,375.0,6.678378921613918
fuente del maestre,1.238997557010052,5.461620595426715,3481.0,4.222623038416663
fuentes de len,6.260312315140073,15.079423358835998,1285.5,8.819111043695925
galisteo,6.4593464695917975,11.367340057266969,984.0,4.907993587675171
garbayuela,5.288499999999999,13.914261058748071,273.5,8.625761058748072
garciaz,11.899813904188939,20.276806507274845,425.5,8.376992603085906
garganta la,12.457801525866456,24.081368127927867,245.0,11.62356660206141
garganta la olla,4.823761443240719,23.93425538063061,531.0,19.11049393738989
gargantilla,4.123965221667095,11.248313923413589,220.0,7.124348701746494
gargera,8.799,13.696900473904856,66.0,4.897900473904857
garlitos,7.2345,15.860261058748073,340.5,8.625761058748072
garrovilla la,6.2825,10.352012688292376,1253.0,4.0695126882923764
garrovillas de alcontar,9.73,19.58891222798568,1140.0,9.85891222798568
garvn,11.998,18.50786893720092,52.5,6.509868937200922
gata,7.563785246364799,16.04164857917845,831.0,8.477863332813651
gordo el,8.918,15.427868937200923,169.0,6.509868937200924
granja de torrehermosa,15.456263616194834,29.83475378856815,1188.5,14.378490172373317
granja la,2.711258606880799,17.312586233619022,180.5,14.601327626738223
guadalupe,10.253958457317449,19.05095877858682,1048.0,8.797000321269373
guarea,12.817449495610646,16.433637789727733,3656.0,3.6161882941170873
guijo de coria,5.973020056744748,15.378231553696901,115.5,9.405211496952154
guijo de galisteo,3.794936984304055,12.243647690286398,805.5,8.448710705982343
guijo de granadilla,12.618193849571707,20.1861697850402,312.5,7.567975935468493
guijo de santa brbara,2.849,9.410827228464939,205.0,6.561827228464939
haba la,4.0775,7.693688294117084,683.5,3.6161882941170846
helechosa de los montes,30.271499999999996,38.89726105874807,358.0,8.625761058748076
herguijuela,7.330169110398185,15.698705579779208,183.0,8.368536469381024
hernnprez,4.9525,13.776539496237394,259.0,8.824039496237393
herrera de alcntara,16.5095,25.139107084612547,142.5,8.629607084612548
herrera del duque,14.745524776854502,23.34373861333983,1844.0,8.598213836485328
herreruela,13.333866054083853,23.008386609560922,193.0,9.67452055547707
hervs,9.02915758724521,19.177794214053574,2063.0,10.148636626808363
higuera,4.7425,11.252368937200924,50.0,6.509868937200924
higuera de la serena,7.582593830849182,15.949973429714882,521.5,8.3673795988657
higuera de llerena,6.996499999999999,13.674878921613915,176.5,6.678378921613916
higuera de vargas,12.11,18.766468914895405,1077.0,6.656468914895406
higuera la real,21.290714817485977,28.395992825233144,1237.0,7.105278007747167
hinojal,10.557130120597675,31.988397147187158,220.5,21.43126702658948
hinojosa del valle,3.6259999999999994,10.765509541086718,279.0,7.139509541086719
holguera,8.941449641186626,14.167077042066635,379.0,5.225627400880009
hornachos,6.180021414986108,13.236618565655542,1933.5,7.056597150669434
hoyos,8.375850497363285,17.059400378412025,488.0,8.68354988104874
hulaga,3.3425,11.91604326195987,98.0,8.573543261959871
ibahernando,7.421976547514134,15.798969150600037,244.0,8.376992603085903
jaraicejo,8.764815991147461,16.61205181174329,295.0,7.847235820595827
jarandilla de la vera,1.536711743814169,19.275045360790507,1564.5,17.738333616976337
jaraz de la vera,1.6624999999999999,8.224327228464938,3233.5,6.561827228464939
jarilla,7.784987330004652,18.17082213232094,77.0,10.385834802316287
jerez de los caballeros,11.718040857148459,18.77187219492975,5118.5,7.05383133778129
jerte,2.4703125831918995,9.017836580187721,666.0,6.547523996995821
ladrillar,9.157252101213722,18.6202325628393,114.0,9.462980461625577
lapa la,7.269499999999998,11.498798382382553,148.0,4.229298382382555
llera,8.653856369305855,15.680113641376987,473.5,7.026257272071133
llerena,1.7610736136407599,8.364411756952503,2998.5,6.603338143311743
lobn,14.366115466459771,20.068730723240904,1361.5,5.702615256781133
logrosn,0.5704999999999999,9.410146723091849,1045.0,8.83964672309185
losar de la vera,2.3573908694431647,10.289943243093111,1483.0,7.932552373649946
madrigal de la vera,11.129540780324927,20.55417850683752,909.5,9.424637726512593
madrigalejo,12.936433100438093,16.552621394555178,976.5,3.6161882941170855
