origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Badajoz,Malcocinado,9.2782426,162835.0958605,16.0148191,162860.3889222
Badajoz,Valle de Matamoros,9.2782426,64010.247782,124.8731214,64144.399146
Badajoz,Zarza-Capilla,9.2782426,186542.3304894,23.6059874,186575.2147195
Badajoz,Higuera de Llerena,9.2782426,113438.5687387,1.2733805,113449.1203618
Badajoz,Baterno,9.2782426,200972.8963643,3.3268237,200985.5014307
Badajoz,Atalaya,9.2782426,88587.4172642,66.9163599,88663.6118667
Badajoz,Valverde de Burguillos,9.2782426,88025.709877,49.997444,88084.9855636
Badajoz,Orellana de la Sierra,9.2782426,145962.4000279,25.2511244,145996.9293949
Badajoz,"Lapa, La",9.2782426,75972.5462843,5.53975,75987.3642769
Badajoz,Tamurejo,9.2782426,198904.286882,20.393729,198933.9588537
Badajoz,Aljucén,9.2782426,74515.7570751,64.7398621,74589.7751798
Badajoz,Sancti-Spíritus,9.2782426,189342.538917,26.3359645,189378.1531242
Badajoz,Reina,9.2782426,125339.5021716,101.02597,125449.8063842
Badajoz,Casas de Reina,9.2782426,122183.328605,3.8370236,122196.4438712
Badajoz,Capilla,9.2782426,194946.9508502,87.8232078,195044.0523006
Badajoz,Risco,9.2782426,192904.5307719,83.7006714,192997.509686
Badajoz,"Carrascalejo, El",9.2782426,72529.8672666,133.5866912,72672.7322004
Badajoz,Cáceres,9.2782426,90495.3745977,7.9586815,90512.6115218
Badajoz,Plasencia,9.2782426,165850.3973329,7.2674516,165866.9430272
Badajoz,Navalmoral de la Mata,9.2782426,202336.2407453,5.448478,202350.967466
Badajoz,Coria,9.2782426,155861.6119161,2.3196049,155873.2097637
Badajoz,Miajadas,9.2782426,110020.6973512,3.4753143,110033.4509082
Badajoz,Trujillo,9.2782426,135349.6645506,4.533795,135363.4765882
Badajoz,Talayuela,9.2782426,213144.4198132,110.4058556,213264.1039114
Badajoz,Moraleja,9.2782426,171030.0037491,8.2997161,171047.5817078
Badajoz,Arroyo de la Luz,9.2782426,97115.365046,21.8209402,97146.4642289
Badajoz,Jara¡z de la Vera,9.2782426,200034.3288494,7.8489892,200051.4560813
Badajoz,Valencia de Alcántara,9.2782426,93329.0030892,0.6834128,93338.9647447
Badajoz,Montehermoso,9.2782426,180215.97975,5.1149695,180230.3729622
Badajoz,Casar de Cáceres,9.2782426,100497.8311707,7.9970539,100515.1064672
Badajoz,Malpartida de Plasencia,9.2782426,167931.6084826,2.7929282,167943.6796534
Badajoz,Malpartida de Cáceres,9.2782426,95674.2237632,60.2101541,95743.7121599
Badajoz,Hervás,9.2782426,232536.4764563,5.2665208,232551.0212198
Badajoz,Torrejoncillo,9.2782426,168671.2232719,2.1033884,168682.604903
Badajoz,Jarandilla de la Vera,9.2782426,214901.2985072,7.5514084,214918.1281583
Badajoz,Alcuéscar,9.2782426,91164.1843125,7.773502,91181.2360571
Badajoz,Losar de la Vera,9.2782426,220247.1003508,16.5994926,220272.9780861
Badajoz,Madroñera,9.2782426,149030.8735232,15.3127732,149055.464539
Badajoz,Valverde del Fresno,9.2782426,203205.0905035,31.6526941,203246.0214402
Badajoz,Garrovillas de Alconétar,9.2782426,123099.5630878,13.8146972,123122.6560276
Badajoz,Aldeanueva de la Vera,9.2782426,209794.4967944,3.7048855,209807.4799225
Badajoz,Cabezuela del Valle,9.2782426,198076.8925005,3.8875589,198090.0583021
Badajoz,Brozas,9.2782426,109835.6279418,15.3264353,109860.2326198
Badajoz,Villanueva de la Vera,9.2782426,236092.8849321,13.8683967,236116.0315715
Badajoz,Guadalupe,9.2782426,184444.5628775,48.8506932,184502.6918133
Badajoz,Logrosán,9.2782426,154821.14512,6.0153113,154836.438674
Badajoz,Sierra de Fuentes,9.2782426,101717.0557892,1.0920939,101727.4261257
Badajoz,Navaconcejo,9.2782426,195150.5348416,8.5860051,195168.3990894
Badajoz,Ceclavín,9.2782426,156745.0277538,48.0487073,156802.3547038
Badajoz,Montánchez,9.2782426,100983.2492629,14.9344158,101007.4619214
Badajoz,Almoharín,9.2782426,110337.8703575,12.6214513,110359.7700515
Badajoz,Aliseda,9.2782426,83182.9654098,7.4606776,83199.7043301
