municipio,planta_asignada,euclidean_distance
Plasenzuela,19,17218.687581036513
Bohonal de Ibor,34,12724.499952270511
Berzocana,45,12138.367411359532
Casares de las Hurdes,21,9100.431778671636
Hernán-Pérez,31,7998.944901234248
Villanueva de la Sierra,31,12478.860085144168
Cadalso,31,3523.9995201648435
Navalvillar de Ibor,42,5661.413559494457
Arroyomolinos de la Vera,26,9302.83188412552
Cedillo,39,34271.05576488202
Garganta. La,23,11306.4723927699
Ibahernando,19,13659.347682736863
Calzadilla,20,11210.223071979295
Barrado,26,12873.481429506111
Casillas de Coria,20,9380.915089935264
Villasbuenas de Gata,31,13048.735764023562
Valdelacasa de Tajo,42,16812.977447394776
Abertura,36,11734.124920563834
Palomero,21,17307.945081603146
Serrejón,37,10174.787801348648
Hinojal,30,9295.063029221928
Gargantilla,23,1678.247382225155
Santibáñez el Alto,31,9266.97188682358
Cabañas del Castillo,42,11354.539898070025
Robledillo de Trujillo,36,14204.48833736106
Cabezabellosa,23,15545.642468810362
Morcillo,25,5780.784585504573
Portaje,32,4280.912702538251
Guijo de Santa Bárbara,28,4403.447249146839
Robledollano,42,6733.121982812707
Puerto de Santa Cruz,19,13719.59238470531
Herreruela,44,18529.198802315557
Valdastillas,22,11853.664834297631
Cabrero,22,14386.914060015964
Herguijuela,19,11422.01156987186
Talaveruela de la Vera,28,10801.82146857633
Granja. La,23,6554.223060553299
Aldea del Obispo. La,40,9863.3838585054
Casas de Don Gómez,20,6922.458563848014
Aldehuela de Jerte,29,9718.852304143626
Gordo. El,34,19937.33382333003
Carrascalejo,42,18881.79882183086
Mata de Alcántara,44,13417.92847331757
Fresnedoso de Ibor,42,8682.243362162704
Abadía,23,4400.55063718467
Santa Cruz de Paniagua,25,14128.920433282445
Villamesías,36,9728.218970219412
Santa Marta de Magasca,40,21214.413783047494
Santiago del Campo,46,13534.977889247635
Robledillo de la Vera,28,5124.156557749348
Salvatierra de Santiago,41,14553.522306138242
Santa Ana,41,18031.12457395288
Peraleda de San Román,42,12876.66485330482
Oliva de Plasencia,29,12221.696818336117
Herrera de Alcántara,39,28853.030181611557
Santa Cruz de la Sierra,19,11668.613217975775
Portezuelo,30,8963.644759146018
Alcollarín,36,16547.432425908228
Viandar de la Vera,28,9304.788406755408
Millanes,34,2981.800496733992
Marchagaz,21,14969.53303341326
Rebollar,22,11622.456825222524
Guijo de Coria,25,8767.14900845625
Valdemorales,41,9510.095729597926
Villar de Plasencia,23,16474.812135130443
Ladrillar,21,8550.421498203374
Carbajo,39,21083.6723186719
Romangordo,37,7482.46689025829
Casas de Don Antonio,41,10223.56755402536
Valdehúncar,34,6203.281829082165
Conquista de la Sierra,19,14847.742138900148
Piedras Albas,24,12876.649436521606
Collado,26,4525.614866392438
Botija,41,15303.621761269664
Huélaga,20,4046.416984354932
Cerezo,21,17178.14233237469
Descargamaría,31,5276.782693860456
Segura de Toro,23,4848.924765941687
Toril,35,8147.900169926829
Mesas de Ibor,37,13199.205777947926
Pescueza,32,11244.890693426883
Villa del Rey,44,7198.518644894846
Jarilla,23,12160.78083637798
Casas de Miravete,37,10366.306336050931
Gargüera,26,15451.83158367996
Robledillo de Gata,31,7592.911701337141
Valdecañas de Tajo,37,7892.089538057373
Pedroso de Acim,30,5008.58519358778
Berrocalejo,34,20359.443930830177
Garvín,42,12479.12968888813
Higuera,37,9196.30744729992
Benquerencia,41,11691.003629236697
Cachorrilla,32,13182.70427028524
Campillo de Deleitosa,42,14388.047901043325
Ruanes,41,17566.698553391998
