Municipality,Plant,NetworkDistance,EuclideanDistance,Ratio,Note
Berrocalejo,34,32893.6851027,20359.443930830177,1.6156475203573366,
Higuera,37,13553.5167877,9196.30744729992,1.4737998773278702,
Benquerencia,41,21363.2890938,11691.003629236697,1.82732721426713,
Cachorrilla,32,14178.5258694,13182.70427028524,1.075540008991889,
Ruanes,41,20721.878895,17566.698553391998,1.179611458124484,
Villanueva de la Serena,17,17137.7734996,7697.864914958575,2.2263021875452362,Different_assignment_euc
Villanueva de la Serena,3,17137.7734996,7697.864914958575,2.2263021875452362,Different_assignment_net
Zafra,5,13791.7663832,9058.518751144427,1.5225189417925076,Different_assignment_euc
Zafra,9,13791.7663832,9058.518751144427,1.5225189417925076,Different_assignment_net
Villafranca de los Barros,1,9801.7286769,9186.530554972544,1.0669674060567358,Different_assignment_euc
Villafranca de los Barros,2,9801.7286769,9186.530554972544,1.0669674060567358,Different_assignment_net
Jerez de los Caballeros,8,32114.5209711,22237.440080135053,1.4441644746594844,Different_assignment_euc
Jerez de los Caballeros,5,32114.5209711,22237.440080135053,1.4441644746594844,Different_assignment_net
Alburquerque,39,41640.5165257,29579.85689793988,1.4077321830654324,Different_assignment_euc
Alburquerque,18,41640.5165257,29579.85689793988,1.4077321830654324,Different_assignment_net
Oliva de la Frontera,8,49231.5832382,28886.31930302103,1.7043217836704863,Different_assignment_euc
Oliva de la Frontera,5,49231.5832382,28886.31930302103,1.7043217836704863,Different_assignment_net
Fuente de Cantos,5,27807.3720877,19184.962317431386,1.449435846034179,Different_assignment_euc
Fuente de Cantos,10,27807.3720877,19184.962317431386,1.449435846034179,Different_assignment_net
Santa Amalia,38,21165.5675507,16050.78490786989,1.3186624624395953,Different_assignment_euc
Santa Amalia,3,21165.5675507,16050.78490786989,1.3186624624395953,Different_assignment_net
Zalamea de la Serena,6,16478.1597548,9841.280878619746,1.6743917746112624,Different_assignment_euc
Zalamea de la Serena,15,16478.1597548,9841.280878619746,1.6743917746112624,Different_assignment_net
Hornachos,12,16645.636288,13757.275895333278,1.2099514769233137,Different_assignment_euc
Hornachos,2,16645.636288,13757.275895333278,1.2099514769233137,Different_assignment_net
Zah¡nos,8,48823.1252513,34622.18520358762,1.4101687968049124,Different_assignment_euc
Zah¡nos,13,48823.1252513,34622.18520358762,1.4101687968049124,Different_assignment_net
Solana de los Barros,9,27640.8112099,24372.08128640913,1.1341177999973948,Different_assignment_euc
Solana de los Barros,14,27640.8112099,24372.08128640913,1.1341177999973948,Different_assignment_net
Valdelacalzada,4,25482.5956073,5783.654776027909,4.405967609429293,Different_assignment_euc
Valdelacalzada,18,25482.5956073,5783.654776027909,4.405967609429293,Different_assignment_net
Higuera la Real,8,60809.5740084,5919.874828587839,10.272104692947682,Different_assignment_euc
Higuera la Real,5,60809.5740084,5919.874828587839,10.272104692947682,Different_assignment_net
Bienvenida,10,33064.2365839,17907.198368247646,1.8464215285920007,Different_assignment_euc
Bienvenida,2,33064.2365839,17907.198368247646,1.8464215285920007,Different_assignment_net
Salvaleón,9,39703.631184,28212.110599365536,1.407325802306081,Different_assignment_euc
Salvaleón,13,39703.631184,28212.110599365536,1.407325802306081,Different_assignment_net
Pueblonuevo del Guadiana,4,17642.6767016,2878.6148999979337,6.128877017072574,Different_assignment_euc
Pueblonuevo del Guadiana,18,17642.6767016,2878.6148999979337,6.128877017072574,Different_assignment_net
Puebla de Obando,4,43667.0884925,33316.79088338731,1.3106631021378965,Different_assignment_euc
Puebla de Obando,18,43667.0884925,33316.79088338731,1.3106631021378965,Different_assignment_net
Usagre,10,24923.2796511,18896.901053398666,1.3189083003965603,Different_assignment_euc
Usagre,2,24923.2796511,18896.901053398666,1.3189083003965603,Different_assignment_net
Oliva de Mérida,12,32404.4389955,26073.570300097566,1.2428078940680687,Different_assignment_euc
Oliva de Mérida,1,32404.4389955,26073.570300097566,1.2428078940680687,Different_assignment_net
Roca de la Sierra. La,4,34585.1994405,24371.522884994625,1.4190824103894577,Different_assignment_euc
Roca de la Sierra. La,18,34585.1994405,24371.522884994625,1.4190824103894577,Different_assignment_net
Campillo de Llerena,6,42735.0321746,30311.59366618093,1.4098576487015948,Different_assignment_euc
Campillo de Llerena,10,42735.0321746,30311.59366618093,1.4098576487015948,Different_assignment_net
