municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Valle de Matamoros,423,4.9,86.33,Badajoz,5,Atalaya,40.6,211.5,8586.2,14.21,7.09,6.74,21.3
Aldeacentenera,774,110.56,7.0,CÂ ceres,19,Trujillo,35.41,387.0,13704.18,12.39,8.81,8.46,21.21
Retamal de Llerena,501,96.12,5.21,Badajoz,6,Quintana de la Serena,35.94,250.5,9002.93,12.58,8.55,8.2,21.12
Campo Lugar,1030,73.06,14.1,CÂ ceres,36,Escurial,14.29,515.0,7357.8,5.0,16.09,15.74,21.09
Valdecañas de Tajo,119,18.81,6.33,CÂ ceres,27,Navalmoral de la Mata,36.13,59.5,2149.46,12.64,8.41,8.06,21.05
Codosera. La,2322,69.63,33.35,Badajoz,39,Valencia de Alcántara,35.39,1161.0,41093.03,12.39,8.61,8.26,21.0
Almoharín,1997,93.68,21.32,CÂ ceres,36,Escurial,13.7,998.5,13677.99,4.79,16.09,15.74,20.89
Garciaz,851,150.28,5.66,CÂ ceres,19,Trujillo,34.37,425.5,14622.93,12.03,8.81,8.46,20.84
Casta¤ar de Ibor,1225,146.97,8.34,CÂ ceres,42,Castañar de Ibor,1.97,612.5,1209.14,0.69,20.06,19.71,20.76
Serradilla,1766,259.19,6.81,CÂ ceres,33,Serradilla,2.55,883.0,2253.96,0.89,19.84,19.49,20.74
Salvaleón,2049,71.8,28.54,Badajoz,13,Olivenza,39.7,1024.5,40676.37,13.9,6.59,6.24,20.48
Navalvillar de Pela,4787,251.17,19.06,Badajoz,45,Logrosán,33.53,2393.5,80248.98,11.73,8.69,8.34,20.43
Garvín,105,38.27,2.74,CÂ ceres,27,Navalmoral de la Mata,34.28,52.5,1799.71,12.0,8.41,8.06,20.41
Navezuelas,698,59.99,11.64,CÂ ceres,45,Logrosán,33.34,349.0,11634.95,11.67,8.69,8.34,20.36
Calera de León,1060,68.38,15.5,Badajoz,8,Fregenal de la Sierra,32.8,530.0,17383.94,11.48,8.84,8.49,20.32
Azuaga,8301,497.89,16.67,Badajoz,10,Llerena,39.02,4150.5,161951.42,13.66,6.66,6.31,20.32
Madrigal de la Vera,1819,41.63,43.69,CÂ ceres,22,Cabezuela del Valle,32.22,909.5,29305.93,11.28,8.81,8.46,20.09
Bienvenida,2326,92.17,25.24,Badajoz,1,Ribera del Fresno,33.06,1163.0,38453.71,11.57,8.5,8.15,20.07
Carbajo,227,27.94,8.12,CÂ ceres,39,Valencia de Alcántara,32.5,113.5,3689.03,11.38,8.61,8.26,19.98
Fuenlabrada de los Montes,1955,191.92,10.19,Badajoz,11,Siruela,33.62,977.5,32861.61,11.77,8.2,7.85,19.97
Casas de Don Pedro,1632,142.66,11.44,Badajoz,11,Siruela,33.49,816.0,27327.29,11.72,8.2,7.85,19.92
Berrocalejo,105,14.28,7.35,CÂ ceres,27,Navalmoral de la Mata,32.89,52.5,1726.92,11.51,8.41,8.06,19.92
Mohedas de Granadilla,976,58.72,16.62,CÂ ceres,21,Nuñomoral,30.01,488.0,14644.31,10.5,9.38,9.03,19.88
Oliva de Mérida,1875,254.51,7.37,Badajoz,1,Ribera del Fresno,32.4,937.5,30379.16,11.34,8.5,8.15,19.84
Palomero,452,20.27,22.3,CÂ ceres,25,Montehermoso,31.92,226.0,7213.4,11.17,8.64,8.29,19.81
Marchagaz,248,9.47,26.19,CÂ ceres,21,Nuñomoral,29.7,124.0,3683.01,10.4,9.38,9.03,19.77
Ceclavín,2054,159.49,12.88,CÂ ceres,24,Ceclavín,4.89,1027.0,5018.05,1.71,18.04,17.69,19.75
Botija,199,18.82,10.57,CÂ ceres,41,Montánchez,31.1,99.5,3094.13,10.88,8.8,8.45,19.68
Garrovillas de Alconétar,2280,206.85,11.02,CÂ ceres,44,Brozas,27.8,1140.0,31696.4,9.73,9.9,9.55,19.64
Cordobilla de Lácara,967,36.93,26.18,Badajoz,41,Montánchez,30.96,483.5,14966.83,10.83,8.8,8.45,19.63
Santibáñez el Bajo,829,46.15,17.96,CÂ ceres,22,Cabezuela del Valle,30.57,414.5,12672.56,10.7,8.81,8.46,19.51
Cerezo,190,18.14,10.47,CÂ ceres,22,Cabezuela del Valle,30.46,95.0,2894.06,10.66,8.81,8.46,19.48
Santa Marta de Magasca,309,39.68,7.79,CÂ ceres,19,Trujillo,30.45,154.5,4704.79,10.66,8.81,8.46,19.47
Hervás,4126,59.78,69.02,CÂ ceres,22,Cabezuela del Valle,30.22,2063.0,62338.11,10.58,8.81,8.46,19.39
Valle de la Serena,1425,125.26,11.38,Badajoz,6,Quintana de la Serena,30.62,712.5,21815.11,10.72,8.55,8.2,19.26
Salorino,689,157.65,4.37,CÂ ceres,39,Valencia de Alcántara,30.21,344.5,10406.11,10.57,8.61,8.26,19.18
Plasenzuela,538,36.67,14.67,CÂ ceres,41,Montánchez,29.17,269.0,7847.82,10.21,8.8,8.45,19.01
Capilla,187,146.99,1.27,Badajoz,7,Cabeza del Buey,21.43,93.5,2003.56,7.5,11.44,11.09,18.94
Guadalupe,2096,68.19,30.74,CÂ ceres,45,Logrosán,29.25,1048.0,30658.83,10.24,8.69,8.34,18.93
Peraleda de San Román,294,61.9,4.75,CÂ ceres,27,Navalmoral de la Mata,29.94,147.0,4401.57,10.48,8.41,8.06,18.89
Guareña,7312,238.34,30.68,Badajoz,3,Don Benito,37.3,3656.0,136377.68,13.06,5.83,5.48,18.89
Higuera de Vargas,2154,67.59,31.87,Badajoz,13,Olivenza,34.6,1077.0,37267.73,12.11,6.59,6.24,18.7
Monesterio,4378,322.35,13.58,Badajoz,10,Llerena,34.14,2189.0,74723.69,11.95,6.66,6.31,18.61
Jaraicejo,590,177.48,3.32,CÂ ceres,27,Navalmoral de la Mata,29.06,295.0,8571.56,10.17,8.41,8.06,18.58
Cabrero,369,6.63,55.66,CÂ ceres,22,Cabezuela del Valle,27.8,184.5,5129.19,9.73,8.81,8.46,18.54
Acebo,685,57.02,12.01,CÂ ceres,31,Cadalso,27.68,342.5,9481.01,9.69,8.81,8.46,18.5
Torno. El,988,22.26,44.38,CÂ ceres,22,Cabezuela del Valle,27.64,494.0,13656.15,9.68,8.81,8.46,18.49
Jerez de los Caballeros,10237,740.55,13.82,Badajoz,5,Atalaya,32.11,5118.5,164378.18,11.24,7.09,6.74,18.33
Calzadilla de los Barros,863,52.23,16.52,Badajoz,5,Atalaya,32.05,431.5,13828.24,11.22,7.09,6.74,18.3
Ahigal,1457,52.07,27.98,CÂ ceres,22,Cabezuela del Valle,26.84,728.5,19552.48,9.39,8.81,8.46,18.21
Cabezabellosa,418,33.56,12.46,CÂ ceres,22,Cabezuela del Valle,26.7,209.0,5579.92,9.34,8.81,8.46,18.16
Torrejoncillo,3338,94.54,35.31,CÂ ceres,29,Plasencia,36.5,1669.0,60916.65,12.77,5.31,4.96,18.09
Puebla de Obando,1988,23.65,84.06,Badajoz,18,Badajoz,43.67,994.0,43405.09,15.28,2.8,2.45,18.08
Santiago de Alcántara,685,95.67,7.16,CÂ ceres,39,Valencia de Alcántara,27.01,342.5,9251.1,9.45,8.61,8.26,18.06
