municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Holguera,758,37.19,20.38,CÂ ceres,29,Plasencia,25.91,379.0,9821.73,9.07,5.31,4.96,14.38
Aldea del Obispo. La,350,37.85,9.25,CÂ ceres,19,Trujillo,15.87,175.0,2777.38,5.55,8.81,8.46,14.37
Hornachos,3867,295.94,13.07,Badajoz,1,Ribera del Fresno,16.65,1933.5,32184.34,5.83,8.5,8.15,14.33
Zalamea de la Serena,3978,245.7,16.19,Badajoz,6,Quintana de la Serena,16.48,1989.0,32775.06,5.77,8.55,8.2,14.31
Madroñera,2916,132.91,21.94,CÂ ceres,19,Trujillo,15.58,1458.0,22715.47,5.45,8.81,8.46,14.26
Ibahernando,488,76.95,6.34,CÂ ceres,19,Trujillo,15.49,244.0,3779.13,5.42,8.81,8.46,14.23
Baterno,352,62.1,5.67,Badajoz,11,Siruela,17.14,176.0,3015.96,6.0,8.2,7.85,14.2
Casares de las Hurdes,528,20.75,25.45,CÂ ceres,21,Nuñomoral,13.69,264.0,3614.85,4.79,9.38,9.03,14.17
Portezuelo,268,126.11,2.13,CÂ ceres,20,Moraleja,15.4,134.0,2064.23,5.39,8.73,8.38,14.12
Gargüera,132,51.6,2.56,CÂ ceres,29,Plasencia,25.14,66.0,1658.99,8.8,5.31,4.96,14.11
Santa Cruz de la Sierra,270,44.6,6.05,CÂ ceres,19,Trujillo,15.08,135.0,2036.1,5.28,8.81,8.46,14.09
Talarrubias,3630,339.31,10.7,Badajoz,11,Siruela,16.77,1815.0,30441.11,5.87,8.2,7.85,14.07
Aldea del Cano,721,28.69,25.13,CÂ ceres,46,Cáceres,29.62,360.5,10677.75,10.37,3.49,3.14,13.85
San Vicente de Alcántara,5808,275.31,21.1,Badajoz,39,Valencia de Alcántara,14.85,2904.0,43119.96,5.2,8.61,8.26,13.81
Valverde de Mérida,1159,51.65,22.44,Badajoz,14,Mérida,27.91,579.5,16176.59,9.77,4.03,3.68,13.8
Torre de Don Miguel,568,11.55,49.18,CÂ ceres,31,Cadalso,14.21,284.0,4035.66,4.97,8.81,8.46,13.79
Ahillones,1052,21.54,48.84,Badajoz,10,Llerena,20.34,526.0,10699.72,7.12,6.66,6.31,13.78
Hernán-Pérez,518,35.76,14.49,CÂ ceres,31,Cadalso,14.15,259.0,3665.11,4.95,8.81,8.46,13.77
Solana de los Barros,2826,65.03,43.46,Badajoz,14,Mérida,27.64,1413.0,39056.47,9.67,4.03,3.68,13.71
Cachorrilla,93,41.38,2.25,CÂ ceres,20,Moraleja,14.18,46.5,659.3,4.96,8.73,8.38,13.69
Higuera de Llerena,353,113.4,3.11,Badajoz,10,Llerena,19.99,176.5,3529.03,7.0,6.66,6.31,13.66
Jarilla,154,28.47,5.41,CÂ ceres,22,Cabezuela del Valle,13.81,77.0,1063.45,4.83,8.81,8.46,13.65
Salvatierra de los Barros,1788,74.96,23.85,Badajoz,9,Fuente del Maestre,26.76,894.0,23927.51,9.37,4.22,3.87,13.59
Tamurejo,259,29.71,8.72,Badajoz,11,Siruela,15.37,129.5,1989.77,5.38,8.2,7.85,13.58
Garganta la Olla,1062,48.06,22.1,CÂ ceres,22,Cabezuela del Valle,13.37,531.0,7098.76,4.68,8.81,8.46,13.49
Garbayuela,547,84.14,6.5,Badajoz,11,Siruela,15.11,273.5,4131.44,5.29,8.2,7.85,13.49
Guijo de Coria,231,74.75,3.09,CÂ ceres,25,Montehermoso,13.85,115.5,1599.51,4.85,8.64,8.29,13.48
Pasarón de la Vera,677,38.97,17.37,CÂ ceres,22,Cabezuela del Valle,13.18,338.5,4460.76,4.61,8.81,8.46,13.43
Lobón,2723,57.65,47.23,Badajoz,4,Talavera la Real,18.8,1361.5,25592.2,6.58,6.83,6.48,13.41
Casas de Miravete,145,50.16,2.89,CÂ ceres,27,Navalmoral de la Mata,14.21,72.5,1030.28,4.97,8.41,8.06,13.38
Tornavacas,1181,76.6,15.42,CÂ ceres,22,Cabezuela del Valle,12.69,590.5,7495.54,4.44,8.81,8.46,13.26
Santa Amalia,4326,73.6,58.78,Badajoz,3,Don Benito,21.17,2163.0,45781.12,7.41,5.83,5.48,13.24
Valencia del Ventoso,2249,99.19,22.67,Badajoz,5,Atalaya,17.51,1124.5,19685.25,6.13,7.09,6.74,13.21
Serrejón,444,124.15,3.58,CÂ ceres,27,Navalmoral de la Mata,13.65,222.0,3031.02,4.78,8.41,8.06,13.19
Higuera,100,40.53,2.47,CÂ ceres,27,Navalmoral de la Mata,13.55,50.0,677.68,4.74,8.41,8.06,13.15
Villa del Campo,555,56.92,9.75,CÂ ceres,25,Montehermoso,12.9,277.5,3579.82,4.52,8.64,8.29,13.15
Zarza de Granadilla,1864,133.56,13.96,CÂ ceres,22,Cabezuela del Valle,12.17,932.0,11341.73,4.26,8.81,8.46,13.07
Pescueza,157,52.06,3.02,CÂ ceres,20,Moraleja,12.31,78.5,966.73,4.31,8.73,8.38,13.04
Villa del Rey,157,57.29,2.74,CÂ ceres,44,Brozas,8.93,78.5,700.76,3.12,9.9,9.55,13.03
Esparragosa de la Serena,1088,21.7,50.14,Badajoz,6,Quintana de la Serena,12.64,544.0,6876.24,4.42,8.55,8.2,12.97
Puebla de Sancho P‚rez,2899,56.69,51.14,Badajoz,5,Atalaya,16.65,1449.5,24135.4,5.83,7.09,6.74,12.92
Santibáñez el Alto,436,99.07,4.4,CÂ ceres,31,Cadalso,11.65,218.0,2539.67,4.08,8.81,8.46,12.89
Cañamero,1787,151.45,11.8,CÂ ceres,45,Logrosán,11.88,893.5,10610.72,4.16,8.69,8.34,12.85
Segura de León,2140,104.39,20.5,Badajoz,8,Fregenal de la Sierra,11.36,1070.0,12156.33,3.98,8.84,8.49,12.82
Riolobos,1257,49.49,25.4,CÂ ceres,29,Plasencia,21.35,628.5,13417.54,7.47,5.31,4.96,12.78
Cuacos de Yuste,915,52.63,17.39,CÂ ceres,22,Cabezuela del Valle,11.32,457.5,5179.89,3.96,8.81,8.46,12.78
Alange,2005,160.29,12.51,Badajoz,14,Mérida,24.97,1002.5,25029.25,8.74,4.03,3.68,12.77
Pozuelo de Zarzón,564,47.43,11.89,CÂ ceres,25,Montehermoso,11.77,282.0,3319.89,4.12,8.64,8.29,12.76
Villar de Rena,1457,82.39,17.68,Badajoz,3,Don Benito,19.68,728.5,14333.76,6.89,5.83,5.48,12.72
Malpartida de la Serena,662,26.33,25.14,Badajoz,6,Quintana de la Serena,11.89,331.0,3934.07,4.16,8.55,8.2,12.71
Valdefuentes,1415,27.14,52.14,CÂ ceres,41,Montánchez,11.13,707.5,7873.7,3.9,8.8,8.45,12.69
Trujillo,9822,649.53,15.12,CÂ ceres,19,Trujillo,10.96,4911.0,53819.1,3.84,8.81,8.46,12.65
Casas de Don Gómez,347,31.16,11.14,CÂ ceres,20,Moraleja,11.16,173.5,1935.74,3.9,8.73,8.38,12.64
Aceituna,617,40.08,15.39,CÂ ceres,25,Montehermoso,11.26,308.5,3474.74,3.94,8.64,8.29,12.58
Fuente del Arco,750,115.36,6.5,Badajoz,10,Llerena,16.86,375.0,6323.55,5.9,6.66,6.31,12.56
Villar del Rey,2386,98.87,24.13,Badajoz,18,Badajoz,27.72,1193.0,33068.09,9.7,2.8,2.45,12.5
Belvís de Monroy,670,44.98,14.9,CÂ ceres,27,Navalmoral de la Mata,11.49,335.0,3850.41,4.02,8.41,8.06,12.43
Aljucén,252,19.07,13.21,Badajoz,14,Mérida,23.94,126.0,3016.51,8.38,4.03,3.68,12.41
Morera. La,752,43.39,17.33,Badajoz,9,Fuente del Maestre,23.3,376.0,8759.34,8.15,4.22,3.87,12.37
Romangordo,224,39.07,5.73,CÂ ceres,27,Navalmoral de la Mata,11.16,112.0,1250.42,3.91,8.41,8.06,12.32
Risco,166,39.48,4.2,Badajoz,11,Siruela,11.73,83.0,973.71,4.11,8.2,7.85,12.31
San Pedro de Mérida,880,22.73,38.72,Badajoz,14,Mérida,23.26,440.0,10235.62,8.14,4.03,3.68,12.17
Casas del Monte,766,27.61,27.74,CÂ ceres,22,Cabezuela del Valle,9.58,383.0,3670.18,3.35,8.81,8.46,12.17
Hinojosa del Valle,558,46.03,12.12,Badajoz,1,Ribera del Fresno,10.36,279.0,2891.07,3.63,8.5,8.15,12.13
Torremayor,1004,21.0,47.81,Badajoz,14,Mérida,23.12,502.0,11606.4,8.09,4.03,3.68,12.12
Huélaga,196,10.73,18.27,CÂ ceres,20,Moraleja,9.55,98.0,935.82,3.34,8.73,8.38,12.07
Alcuéscar,3010,108.92,27.63,CÂ ceres,41,Montánchez,9.23,1505.0,13887.18,3.23,8.8,8.45,12.03
Toril,179,149.76,1.2,CÂ ceres,27,Navalmoral de la Mata,10.27,89.5,919.09,3.59,8.41,8.06,12.0
Torreorgaz,1764,28.78,61.29,CÂ ceres,46,Cáceres,24.3,882.0,21434.14,8.51,3.49,3.14,11.99
Cabeza del Buey,5411,475.02,11.39,Badajoz,7,Cabeza del Buey,1.54,2705.5,4165.59,0.54,11.44,11.09,11.98
Valdeobispo,761,42.1,18.08,CÂ ceres,29,Plasencia,19.06,380.5,7250.84,6.67,5.31,4.96,11.98
Robledillo de Gata,124,31.07,3.99,CÂ ceres,31,Cadalso,9.03,62.0,560.16,3.16,8.81,8.46,11.98
Benquerencia de la Serena,948,102.81,9.22,Badajoz,6,Quintana de la Serena,9.68,474.0,4587.52,3.39,8.55,8.2,11.93
Villafranca de los Barros,13356,102.42,130.4,Badajoz,1,Ribera del Fresno,9.8,6678.0,65455.94,3.43,8.5,8.15,11.93
Valdehúncar,212,25.6,8.28,CÂ ceres,27,Navalmoral de la Mata,9.92,106.0,1051.01,3.47,8.41,8.06,11.88
Villanueva de la Serena,25838,152.57,169.35,Badajoz,3,Don Benito,17.14,12919.0,221402.9,6.0,5.83,5.48,11.83
Navaconcejo,2074,51.4,40.35,CÂ ceres,22,Cabezuela del Valle,8.54,1037.0,8860.41,2.99,8.81,8.46,11.8
Medell¡n,2337,64.96,35.98,Badajoz,3,Don Benito,17.05,1168.5,19924.18,5.97,5.83,5.48,11.8
Arroyomolinos,999,115.12,8.68,CÂ ceres,41,Montánchez,8.47,499.5,4229.8,2.96,8.8,8.45,11.76
Aldehuela de Jerte,338,11.76,28.74,CÂ ceres,29,Plasencia,18.43,169.0,3114.68,6.45,5.31,4.96,11.76
Almendralejo,33588,164.27,204.47,Badajoz,9,Fuente del Maestre,21.51,16794.0,361304.22,7.53,4.22,3.87,11.75
Rena,669,10.78,62.06,Badajoz,3,Don Benito,16.86,334.5,5639.29,5.9,5.83,5.48,11.73
Aldeanueva de la Vera,2275,37.6,60.51,CÂ ceres,22,Cabezuela del Valle,8.31,1137.5,9450.74,2.91,8.81,8.46,11.72
Valdelacalzada,2804,31.79,88.2,Badajoz,18,Badajoz,25.48,1402.0,35726.6,8.92,2.8,2.45,11.72
Guijo de Santa Bárbara,410,34.54,11.87,CÂ ceres,22,Cabezuela del Valle,8.14,205.0,1667.68,2.85,8.81,8.46,11.66
Guijo de Galisteo,1611,62.28,25.87,CÂ ceres,25,Montehermoso,8.51,805.5,6851.92,2.98,8.64,8.29,11.61
Collado,201,44.94,4.47,CÂ ceres,22,Cabezuela del Valle,7.98,100.5,802.13,2.79,8.81,8.46,11.61
Torre de Santa María,632,19.07,33.14,CÂ ceres,41,Montánchez,7.86,316.0,2485.11,2.75,8.8,8.45,11.55
Granja. La,361,14.94,24.16,CÂ ceres,22,Cabezuela del Valle,7.78,180.5,1403.57,2.72,8.81,8.46,11.54
Lapa. La,296,8.1,36.54,Badajoz,9,Fuente del Maestre,20.77,148.0,3073.24,7.27,4.22,3.87,11.49
Burguillos del Cerro,3286,187.54,17.52,Badajoz,5,Atalaya,12.56,1643.0,20631.87,4.4,7.09,6.74,11.48
Majadas,1297,51.96,24.96,CÂ ceres,27,Navalmoral de la Mata,8.77,648.5,5688.52,3.07,8.41,8.06,11.48
Arroyo de la Luz,6517,128.06,50.89,CÂ ceres,46,Cáceres,22.81,3258.5,74321.37,7.98,3.49,3.14,11.47
Nuñomoral,1435,94.78,15.14,CÂ ceres,21,Nuñomoral,5.95,717.5,4270.21,2.08,9.38,9.03,11.46
Medina de las Torres,1338,87.37,15.31,Badajoz,5,Atalaya,12.47,669.0,8340.66,4.36,7.09,6.74,11.45
Coria,12896,103.46,124.65,CÂ ceres,20,Moraleja,7.63,6448.0,49176.69,2.67,8.73,8.38,11.4
Robledillo de la Vera,305,12.83,23.77,CÂ ceres,22,Cabezuela del Valle,7.37,152.5,1124.48,2.58,8.81,8.46,11.39
Bodonal de la Sierra,1139,68.37,16.66,Badajoz,8,Fregenal de la Sierra,7.26,569.5,4134.46,2.54,8.84,8.49,11.38
Torremenga,621,12.15,51.11,CÂ ceres,22,Cabezuela del Valle,7.07,310.5,2195.61,2.47,8.81,8.46,11.29
Aceuchal,5679,63.08,90.03,Badajoz,9,Fuente del Maestre,20.0,2839.5,56782.18,7.0,4.22,3.87,11.22
Losar de la Vera,2966,82.08,36.14,CÂ ceres,22,Cabezuela del Valle,6.82,1483.0,10110.45,2.39,8.81,8.46,11.2
Sierra de Fuentes,2085,25.21,82.71,CÂ ceres,46,Cáceres,21.86,1042.5,22788.09,7.65,3.49,3.14,11.14
Morcillo,418,16.23,25.75,CÂ ceres,25,Montehermoso,7.0,209.0,1463.07,2.45,8.64,8.29,11.09
Segura de Toro,186,14.73,12.63,CÂ ceres,22,Cabezuela del Valle,6.42,93.0,597.32,2.25,8.81,8.46,11.06
Sancti-Spíritus,237,33.56,7.06,Badajoz,11,Siruela,8.12,118.5,962.54,2.84,8.2,7.85,11.05
Carrascalejo. El,85,12.77,6.66,Badajoz,14,Mérida,19.98,42.5,849.33,6.99,4.03,3.68,11.03
Parra. La,1390,78.21,17.77,Badajoz,9,Fuente del Maestre,19.45,695.0,13518.53,6.81,4.22,3.87,11.03
Navalmoral de la Mata,17228,155.96,110.46,CÂ ceres,27,Navalmoral de la Mata,7.24,8614.0,62406.91,2.54,8.41,8.06,10.95
Descargamaría,190,52.92,3.59,CÂ ceres,31,Cadalso,6.08,95.0,577.18,2.13,8.81,8.46,10.94
Brozas,2123,398.84,5.32,CÂ ceres,44,Brozas,2.95,1061.5,3128.28,1.03,9.9,9.55,10.94
Galisteo,1968,79.52,24.75,CÂ ceres,29,Plasencia,16.07,984.0,15809.89,5.62,5.31,4.96,10.93
Jerte,1332,58.95,22.6,CÂ ceres,22,Cabezuela del Valle,5.61,666.0,3738.05,1.96,8.81,8.46,10.78
Oliva de Plasencia,286,88.73,3.22,CÂ ceres,29,Plasencia,15.53,143.0,2221.14,5.44,5.31,4.96,10.75
Cabezuela del Valle,2129,56.57,37.63,CÂ ceres,22,Cabezuela del Valle,5.51,1064.5,5861.24,1.93,8.81,8.46,10.74
Abadía,325,45.08,7.21,CÂ ceres,22,Cabezuela del Valle,5.14,162.5,835.21,1.8,8.81,8.46,10.61
Reina,201,72.43,2.78,Badajoz,10,Llerena,11.18,100.5,1123.14,3.91,6.66,6.31,10.57
Millanes,257,17.61,14.59,CÂ ceres,27,Navalmoral de la Mata,6.17,128.5,793.28,2.16,8.41,8.06,10.57
Mirandilla,1377,41.59,33.11,Badajoz,14,Mérida,18.47,688.5,12716.66,6.46,4.03,3.68,10.5
Jara¡z de la Vera,6467,62.53,103.42,CÂ ceres,22,Cabezuela del Valle,4.75,3233.5,15373.67,1.66,8.81,8.46,10.48
Gargantilla,440,20.87,21.08,CÂ ceres,22,Cabezuela del Valle,4.72,220.0,1038.51,1.65,8.81,8.46,10.47
Campanario,5367,257.32,20.86,Badajoz,3,Don Benito,13.19,2683.5,35398.47,4.62,5.83,5.48,10.45
Saucedilla,804,60.41,13.31,CÂ ceres,27,Navalmoral de la Mata,5.79,402.0,2329.05,2.03,8.41,8.06,10.44
Valverde de Burguillos,322,19.41,16.59,Badajoz,5,Atalaya,9.34,161.0,1503.43,3.27,7.09,6.74,10.36
Portaje,415,100.55,4.13,CÂ ceres,20,Moraleja,4.62,207.5,957.91,1.62,8.73,8.38,10.35
Valverde de Leganés,4155,72.98,56.93,Badajoz,13,Olivenza,10.71,2077.5,22260.08,3.75,6.59,6.24,10.34
Garrovilla. La,2506,33.46,74.9,Badajoz,14,Mérida,17.95,1253.0,22497.58,6.28,4.03,3.68,10.32
Carcaboso,1108,20.29,54.61,CÂ ceres,29,Plasencia,14.24,554.0,7889.95,4.98,5.31,4.96,10.3
Magacela,607,75.82,8.01,Badajoz,3,Don Benito,12.5,303.5,3794.71,4.38,5.83,5.48,10.21
Cadalso,506,7.35,68.84,CÂ ceres,31,Cadalso,3.91,253.0,989.06,1.37,8.81,8.46,10.18
Fregenal de la Sierra,5237,236.65,22.13,Badajoz,8,Fregenal de la Sierra,3.43,2618.5,8972.24,1.2,8.84,8.49,10.04
Montehermoso,5799,96.45,60.12,CÂ ceres,25,Montehermoso,3.91,2899.5,11342.65,1.37,8.64,8.29,10.01
Jarandilla de la Vera,3129,61.51,50.87,CÂ ceres,22,Cabezuela del Valle,3.34,1564.5,5230.9,1.17,8.81,8.46,9.98
Albalá,798,38.49,20.73,CÂ ceres,41,Montánchez,3.35,399.0,1337.59,1.17,8.8,8.45,9.97
Haba. La,1367,86.57,15.79,Badajoz,3,Don Benito,11.65,683.5,7964.85,4.08,5.83,5.48,9.91
Mengabril,487,43.81,11.12,Badajoz,3,Don Benito,11.64,243.5,2833.48,4.07,5.83,5.48,9.91
Puebla del Prior,545,35.88,15.19,Badajoz,1,Ribera del Fresno,4.0,272.5,1088.79,1.4,8.5,8.15,9.9
Trujillanos,1439,20.27,70.99,Badajoz,14,Mérida,16.62,719.5,11959.73,5.82,4.03,3.68,9.85
Talayuela,9222,227.03,40.62,CÂ ceres,27,Navalmoral de la Mata,4.02,4611.0,18546.46,1.41,8.41,8.06,9.82
Moraleja,7998,147.6,54.19,CÂ ceres,20,Moraleja,3.09,3999.0,12343.27,1.08,8.73,8.38,9.81
Montánchez,2040,112.66,18.11,CÂ ceres,41,Montánchez,2.71,1020.0,2759.22,0.95,8.8,8.45,9.75
Alconera,737,32.71,22.53,Badajoz,5,Atalaya,7.44,368.5,2742.41,2.6,7.09,6.74,9.69
Torremej¡a,2228,24.3,91.69,Badajoz,14,Mérida,16.07,1114.0,17900.03,5.62,4.03,3.68,9.66
Casas de Reina,196,49.8,3.94,Badajoz,10,Llerena,8.34,98.0,817.62,2.92,6.66,6.31,9.58
Castuera,6594,432.04,15.26,Badajoz,6,Quintana de la Serena,2.88,3297.0,9496.95,1.01,8.55,8.2,9.55
Casatejada,1399,111.82,12.51,CÂ ceres,27,Navalmoral de la Mata,3.23,699.5,2261.19,1.13,8.41,8.06,9.54
Valencia de Alc ntara,6178,594.83,10.39,CÂ ceres,39,Valencia de Alcántara,2.59,3089.0,8014.38,0.91,8.61,8.26,9.52
Siruela,2192,202.47,10.83,Badajoz,11,Siruela,3.69,1096.0,4041.44,1.29,8.2,7.85,9.49
Quintana de la Serena,5069,141.55,35.81,Badajoz,6,Quintana de la Serena,2.57,2534.5,6508.67,0.9,8.55,8.2,9.44
Villalba de los Barros,1654,90.84,18.21,Badajoz,9,Fuente del Maestre,14.89,827.0,12313.7,5.21,4.22,3.87,9.43
Feria,1341,73.72,18.19,Badajoz,9,Fuente del Maestre,14.72,670.5,9866.73,5.15,4.22,3.87,9.37
Malpartida de Plasencia,4627,372.65,12.42,CÂ ceres,29,Plasencia,11.51,2313.5,26617.71,4.03,5.31,4.96,9.34
Logrosán,2090,365.31,5.72,CÂ ceres,45,Logrosán,1.63,1045.0,1707.72,0.57,8.69,8.34,9.26
Aldeanueva del Camino,800,20.05,39.9,CÂ ceres,22,Cabezuela del Valle,0.82,400.0,327.24,0.29,8.81,8.46,9.1
Santos de Maimona. Los,8193,108.62,75.43,Badajoz,9,Fuente del Maestre,13.93,4096.5,57082.83,4.88,4.22,3.87,9.09
Trasierra,691,58.18,11.88,Badajoz,10,Llerena,6.91,345.5,2388.58,2.42,6.66,6.31,9.08
Zafra,16424,62.6,262.36,Badajoz,9,Fuente del Maestre,13.79,8212.0,113257.99,4.83,4.22,3.87,9.04
Pueblonuevo del Guadiana,2018,28.55,70.68,Badajoz,18,Badajoz,17.64,1009.0,17801.46,6.17,2.8,2.45,8.97
Almaraz,1321,33.91,38.96,CÂ ceres,27,Navalmoral de la Mata,1.21,660.5,799.81,0.42,8.41,8.06,8.83
Esparragalejo,1580,16.78,94.16,Badajoz,14,Mérida,13.5,790.0,10664.64,4.72,4.03,3.68,8.76
Ribera del Fresno,3466,185.62,18.67,Badajoz,1,Ribera del Fresno,0.6,1733.0,1038.35,0.21,8.5,8.15,8.71
Malpartida de Cáceres,4469,32.16,138.96,CÂ ceres,46,Cáceres,14.92,2234.5,33336.86,5.22,3.49,3.14,8.71
Don Benito,35791,561.99,63.69,Badajoz,3,Don Benito,8.11,17895.5,145142.6,2.84,5.83,5.48,8.67
Atalaya,338,22.68,14.9,Badajoz,5,Atalaya,4.33,169.0,731.85,1.52,7.09,6.74,8.6
Talavera la Real,5509,61.5,89.58,Badajoz,4,Talavera la Real,3.21,2754.5,8841.84,1.12,6.83,6.48,7.96
Coronada. La,2239,81.18,27.58,Badajoz,3,Don Benito,5.44,1119.5,6088.49,1.9,5.83,5.48,7.74
Olivenza,11852,430.14,27.55,Badajoz,13,Olivenza,3.17,5926.0,18760.89,1.11,6.59,6.24,7.69
Arroyo de San Serván,4276,50.12,85.32,Badajoz,14,Mérida,10.35,2138.0,22134.67,3.62,4.03,3.68,7.66
Llerena,5997,157.08,38.18,Badajoz,10,Llerena,2.72,2998.5,8141.43,0.95,6.66,6.31,7.61
C ceres,93131,1750.33,53.21,CÂ ceres,46,Cáceres,11.23,46565.5,523115.1,3.93,3.49,3.14,7.42
Plasencia,41148,217.94,188.8,CÂ ceres,29,Plasencia,5.72,20574.0,117591.41,2.0,5.31,4.96,7.31
Badajoz,148334,1470.43,100.88,Badajoz,18,Badajoz,10.4,74167.0,771470.16,3.64,2.8,2.45,6.44
Casar de Cáceres,4879,130.3,37.44,CÂ ceres,46,Cáceres,5.99,2439.5,14621.76,2.1,3.49,3.14,5.58
Fuente del Maestre,6962,179.7,38.74,Badajoz,9,Fuente del Maestre,2.68,3481.0,9323.61,0.94,4.22,3.87,5.15
Calamonte,6178,7.85,787.01,Badajoz,14,Mérida,2.78,3089.0,8580.53,0.97,4.03,3.68,5.0
