origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
"Roca de la Sierra, La",2.059246682962044,1.1002272629154082,1.2679593302943384,1.2618638144557743,42,1.8716557500178679,1.8716557500178679,,0,,
Almaraz,1.9581254022151346,1.0506476893438235,1.2717124360735714,1.219703840085247,42,1.8637316981471417,1.4203016758742584,Almaraz,0,271048.889488901,4410723.37244066
Campanario,1.9578701405079502,1.0545225013048,1.2762020965421295,1.2376039374017398,42,1.8566414069736819,1.8566414069736819,Campanario,0,273049.268621743,4304926.36582296
Herreruela,2.052281793084513,1.1094749027666473,1.3198901735063582,1.2734398943372311,42,1.8497775731265582,1.7558547442442258,Herreruela,0,164043.105948365,4375413.59082304
Moraleja,1.9576235380656881,1.059690637923722,1.24965612749296,1.2052681653998678,42,1.8473538106378933,1.7115837757222994,Moraleja,0,188032.678076841,4441711.30289468
Montijo,1.9702980696567425,1.0682764348010458,1.2516693481471475,1.217729103716605,42,1.8443709937528368,1.8443709937528368,Montijo,0,186766.597483422,4313024.53822166
Aldehuela de Jerte,2.137298859648272,1.1655737117609866,1.3767122053064593,1.315210497846314,42,1.8336882842177107,1.4094116981536349,Aldehuela de Jerte,0,223720.064743839,4434148.16766039
Jaraicejo,2.2752183956483125,1.2456392220881025,1.4250199127235792,1.3773337187903578,42,1.8265468486407288,1.4965369115875555,Jaraicejo,0,258849.518455894,4394623.76232495
Cadalso,2.0221605880362006,1.1106273428595133,1.2812642786209978,1.2488694870779171,42,1.8207372626265244,1.8207372626265244,Cadalso,0,199014.667243361,4460243.94910607
Ahigal,2.023898906612909,1.123117337688584,1.3066655040256836,1.2408576944736018,42,1.8020369187587881,1.8020369187587881,Ahigal,1,228857.024248793,4453790.41759645
Valdeobispo,2.0134623546188215,1.1186897295200233,1.3153460214602846,1.2440137726610505,42,1.7998398496808428,1.396191800542238,Valdeobispo,1,223250.349381218,4442039.54555822
Campillo de Deleitosa,2.137099269222372,1.1996737843704206,1.5179101731659481,1.4845551341992582,42,1.7814003248757369,1.4697166632664085,Campillo de Deleitosa,1,279418.565087453,4398073.77820329
Cerezo,2.0871040382397346,1.1738911293824723,1.328498443872812,1.261779505188982,42,1.7779366297261823,1.7779366297261823,Cerezo,1,225614.148322302,4459192.96148298
Marchagaz,2.1045865075923125,1.1851430781305579,1.3597654453798727,1.2928459419278564,42,1.7758079563794802,1.310800584769885,Marchagaz,0,221744.566601932,4462743.64319439
Caminomorisco,2.060164054548565,1.1607522534824555,1.3143800525588407,1.2407654243972996,42,1.774852513417674,1.2946362406776661,Caminomorisco,0,220605.992981141,4469307.55242669
Oliva de Plasencia,1.9243685484689486,1.0852546256004336,1.2827214983899318,1.2177467926962282,42,1.7731954354990769,1.7731954354990769,Oliva de Plasencia,0,237157.289506869,4444908.88076325
Casar de Palomero,2.081315328307436,1.1781511831266873,1.3267771300453022,1.2551468390702258,42,1.7665944389105035,1.5915163501476273,Casar de Palomero,0,223344.803900056,4465642.7369961
Quintana de la Serena,1.8606202952387267,1.054915903206096,1.3348701794890296,1.3217860309083775,42,1.7637617269622512,1.7637617269622512,Quintana de la Serena,0,267899.56553466,4291626.71595212
Mirabel,1.9320376722527919,1.1019456673925454,1.3229465169622834,1.29308685738996,42,1.7532966728064128,1.6522733192618038,Mirabel,0,223548.219866537,4417458.24855143
Salorino,1.923583392404472,1.098738356881144,1.300898390690543,1.290562050679735,42,1.750720160407175,1.5198446314716907,Salorino,0,155443.681668608,4377642.62000894
Rena,1.796378860449136,1.030619014041569,1.2827662502508648,1.216669946539823,42,1.7430096242884578,1.039423008435595,Rena,1,257149.89155388,4326605.6779018
"Gordo, El",1.8887077326712882,1.0837963813460334,1.3213741622377477,1.29938570777489,42,1.7426776516134754,1.1700898080778623,,0,,
Villar del Rey,1.859272122353664,1.070547838415624,1.2790832193596895,1.2488801381679724,42,1.736748284976528,1.736748284976528,Villar del Rey,0,167542.663595038,4338566.28989181
Peraleda de la Mata,1.8756065149010497,1.081303531398682,1.3014614198069399,1.2818449540810837,42,1.7345791079355164,1.1078418152341145,Peraleda de la Mata,0,289648.024566782,4414423.37186278
Benquerencia,2.052358145061287,1.1851961809857903,1.454248956546707,1.406714451123864,42,1.7316611190513895,1.0835066041590962,Benquerencia,0,234162.550879926,4355834.11485303
Mesas de Ibor,2.053710892342735,1.190384586976332,1.457251040778871,1.4050390137422362,42,1.725249902268407,1.2835633996497315,Mesas de Ibor,0,282048.419023947,4403923.62890632
Palomero,2.03537407320444,1.1833670587510479,1.349002701871696,1.2768201990371164,42,1.719985407868814,1.3112931974827342,Palomero,1,221429.08324726,4460308.76551349
Carrascalejo,2.014893871266656,1.1720169494853578,1.463023244300925,1.4017529317835207,42,1.7191678602868434,1.537170305539867,Carrascalejo,0,309997.208403041,4391024.15436813
Acedera,1.8347674463931496,1.067978408425261,1.3505319569297076,1.3374331290370531,42,1.7179817793306538,1.2837078867208094,Acedera,0,275659.04898293,4328475.72110089
Capilla,2.022136147411939,1.1789150547634963,1.3847966152771216,1.421089482416023,42,1.7152517810688253,1.6381469134170064,Capilla,0,319217.218628472,4298938.78399716
Pinofranqueado,1.978891323825733,1.154393728375289,1.3270149596314547,1.2648512251745834,42,1.7142256365259836,1.423294333608099,Pinofranqueado,0,216908.781760713,4466831.47548595
"Aldea del Obispo, La",1.8875704987451936,1.1016443142958559,1.327987751752388,1.2801148307604944,42,1.7134119191199044,1.6238564866920884,,0,,
Guijo de Galisteo,1.905893434301739,1.1144376852849738,1.3109341202724605,1.2955402455952743,42,1.7101839425094294,1.4647736432453355,Guijo de Galisteo,0,209388.517920319,4443878.57757486
Fresnedoso de Ibor,2.09925303426298,1.2351380874058164,1.4624517995747826,1.4121916512974426,42,1.6996099915209322,1.564314787566444,Fresnedoso de Ibor,0,284998.322079708,4395873.86967987
Santa Ana,1.9749450826694168,1.170225018214543,1.3796833369804677,1.3398614797775146,42,1.6876626733571856,1.315652651462313,Santa Ana,0,242350.438976035,4355374.78140623
Serradilla,1.9594405003996176,1.1629055394210457,1.3815171972038267,1.2959734247564931,42,1.6849524178680308,1.359486725664183,Serradilla,0,231459.730158101,4413618.33343155
Valle de la Serena,1.8097771429146006,1.0794398103176568,1.2398818809835306,1.2097033095824528,42,1.6765892137904572,1.6099500475771082,Valle de la Serena,0,256770.086678079,4287426.76408689
Morcillo,1.9957741225962566,1.1904468127400274,1.358541815401598,1.3312740434578534,42,1.6764916342651408,1.3310317297267065,Morcillo,0,210226.444761213,4435499.73401311
Torrecillas de la Tiesa,1.8175813497070954,1.0843955740310025,1.3768861528294356,1.26398719271591,42,1.6761239101618939,1.6761239101618939,Torrecillas de la Tiesa,0,264549.305683697,4383524.11618466
Medina de las Torres,1.8738130047869215,1.1194646619289235,1.221700305653324,1.1934921989445262,42,1.6738473919830554,1.5900288973224028,Medina de las Torres,0,201954.859122503,4249461.92266417
"Coronada, La",1.8149766710608861,1.0869081940579437,1.2685881309795055,1.2387689910529818,42,1.6698527814798392,1.594346266044562,,0,,
Trujillo,1.8102553109556676,1.0853158984190272,1.2480792134539367,1.2195201666791118,42,1.667952449229441,1.6224039912997354,Trujillo,0,252149.923161933,4371824.37487833
Berrocalejo,1.901724012560758,1.1420746755434898,1.442677995584272,1.4293222072425995,42,1.665148569777862,1.109136167364218,Berrocalejo,0,299047.616248948,4410473.53702969
Puebla de Obando,1.8089581837658815,1.086420331529748,1.3298773258631467,1.304547561968063,42,1.66506289625375,1.66506289625375,Puebla de Obando,1,186736.392813196,4342911.20828484
Alconera,1.921973847624335,1.1591184409331434,1.2724868903779716,1.2409598395146766,42,1.6581341300006047,1.5464741237653858,Alconera,0,196554.636944378,4255829.19741158
Ruanes,1.8085222183887877,1.0931935595258555,1.3365685822219373,1.3242134040106144,42,1.6543476703002051,1.6543476703002051,Ruanes,0,240443.005653289,4357591.3905487
Villanueva de la Serena,1.6886352330207395,1.0253445861942423,1.2273565370473833,1.2188947275778297,42,1.6468953518235505,1.3649452010601786,Villanueva de la Serena,0,257849.900671816,4317825.92358517
Herrera del Duque,1.9651187217790507,1.1967598940677415,1.5612984891957449,1.517995695862071,42,1.6420325677021868,1.4171656947964688,Herrera del Duque,0,323046.866434995,4337525.72681164
Mengabril,1.7473251792294955,1.0642051809027635,1.2629960844556034,1.2345397131356797,42,1.6419062889237603,1.48338651072601,Mengabril,0,245900.459149506,4313795.97574382
Botija,2.000837273110706,1.2258183210042612,1.4352662953964295,1.413982602170082,42,1.63224618104215,1.63224618104215,Botija,0,235264.185972544,4359589.50586967
Hinojal,1.788764088625056,1.1074820124849518,1.3103543623544962,1.2683262196211462,42,1.6151631073550834,1.3597726427203234,Hinojal,0,212285.570912956,4400970.7487014
Valdelacasa de Tajo,1.8275756963430236,1.1318042260831054,1.464843063862347,1.422053774941652,42,1.6147454252470954,1.1320095506829846,Valdelacasa de Tajo,1,304547.417510919,4399923.86643752
