municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,log_beta,log_beta_pred,residual,log_beta_loocv_pred,beta_loocv_pred
Azuaga,10,10,30992.85369642065,10,10,39019.7364178,1.258991404922044,0,azuaga,1.225657280780136,0.0752537812187954,1.0443466361860712,1.7205867213151578,300.0,266049.886758429,4237928.18746664,0.23031092813028403,0.4218440173186939,-0.1915330891884099,0.4218440173186939,1.524770668315804
Santos de Maimona. Los,9,9,10041.374625953798,9,9,13934.5366904,1.3877120622891217,0,los santos de maimona,1.215828972328714,0.0838486873245952,1.0418830649077873,1.6374745753321327,300.0,204931.777645182,4261298.41113205,0.3276563926458168,0.48214457971849345,-0.15448818707267664,0.48214457971849345,1.6195439215801106
GuareÃ±a,3,3,21810.169684419063,3,3,37302.4275422,1.7103226651578245,0,guareaa,,,,,,231202.643063752,4305786.70120732,0.5366820457890206,0.5059437345013509,0.030738311287669684,0.5059437345013509,1.658550012981417
Fuente del Maestre,9,9,2027.5175782390493,9,9,2678.4297041,1.321038955640663,0,fuente del maestre,1.2131741065415775,0.1003071866186243,1.0468475097020564,2.0742357598578973,300.0,199582.916446467,4269969.0179768,0.27841851461383166,0.4447226232628702,-0.16630410864903855,0.4447226232628702,1.5600574121786572
Castuera,15,6,1944.4444874877684,15,6,2880.4820734,1.4813907478128094,0,castuera,1.2359630214073185,0.1078882734457328,1.0543162735037992,2.082644102287463,300.0,278869.083622126,4289076.83871633,0.39298134100768817,0.4572185579227476,-0.06423721691505946,0.4572185579227476,1.579674096812814
Calamonte,14,14,2657.79725735668,14,14,2777.7687512,1.0451394452722995,0,calamonte,1.256110069899884,0.1227562963982952,1.0745051498535674,2.2306958115294693,300.0,206421.987731058,4310024.83393333,0.044150316966350425,0.6959666276439654,-0.651816310677615,0.6959666276439654,2.005646850926029
Llerena,10,10,1467.0347766759348,10,10,2715.1680274,1.850786409816497,0,llerena,1.2347934533411644,0.0815263295964123,1.040678485058342,1.6198838109199216,300.0,236143.714147699,4236514.258661,0.6156106351539068,0.48612734979908906,0.12948328535481773,0.48612734979908906,1.6260070546983665
Puebla de la Calzada,4,4,12229.782355578029,4,4,26745.1021945,2.186882923742425,0,puebla de la calzada,1.276902934977819,0.1432105844165163,1.0634338344478078,2.329091711366829,300.0,185643.111103803,4311193.18816829,0.7824772074507362,0.672787246437588,0.10968996101314821,0.672787246437588,1.9596918596871111
San Vicente de AlcÃ¡ntara,39,39,10333.87112730529,39,39,14848.4705568,1.4368739820613534,0,san vicente de alcantara,,,,,,143733.891280018,4365090.26743444,0.36246990809580854,0.49910454300740065,-0.1366346349115921,0.49910454300740065,1.647245572520166
Alburquerque,39,39,29579.85689793988,18,18,41640.5165257,1.4077321830654324,1,alburquerque,1.2739643960886569,0.0959509998469737,1.1069925945746049,1.601626317464872,300.0,154844.602490127,4349038.68188599,0.34198002875243666,0.42541067888677414,-0.08343065013433748,0.42541067888677414,1.5302187191599848
Aceuchal,9,9,15027.985760123383,9,9,19997.2444242,1.33066697981991,0,aceuchal,1.2310464796907106,0.1071429146717832,1.098858671329344,1.9219014987960097,300.0,196714.636682311,4283592.04238566,0.28568030511668385,0.3518539571234924,-0.06617365200680853,0.3518539571234924,1.4217008792705081
Oliva de la Frontera,8,8,28886.31930302103,5,5,49231.5832382,1.7043217836704865,1,oliva de la frontera,1.263538789007684,0.0784277045559889,1.1005077872056068,1.7246634623864354,300.0,157364.687715438,4243838.30574681,0.5331672507612716,0.4287771393440763,0.10439011141719529,0.4287771393440763,1.5353788207347048
Talavera la Real,4,4,2363.1286637128314,4,4,3209.9602731,1.358351884258671,0,talavera la real,1.2982014318145487,0.4035967627711822,1.039926743263506,6.722196033239698,300.0,173129.346153978,4310011.6819908,0.3062721150544067,0.72674961696315,-0.4204775019087433,0.72674961696315,2.068346750602834
Cabeza del Buey,7,7,1195.377473526004,7,7,1539.6750519,1.2880241480194718,0,cabeza del buey,1.3041270415249555,0.1391081930886381,1.0887165719468772,2.305432045703641,300.0,307047.81003993,4288277.01097829,0.2531093759687345,0.4073979012488077,-0.1542885252800732,0.4073979012488077,1.5029019932839096
Campanario,17,3,12384.691970797665,17,3,13191.1562309,1.0651178294949868,0,campanario,1.2857078596377178,0.1433896915699026,1.0477326652549228,2.610870336252171,300.0,273049.268621743,4304926.36582296,0.06308543106491549,0.5366023306198173,-0.47351689955490184,0.5366023306198174,1.7101863319311648
Fregenal de la Sierra,8,8,2641.970081170975,8,8,3426.4818357,1.296941952567954,0,fregenal de la sierra,1.216094421906721,0.068055728772334,1.0535298566546418,1.5037694894047642,300.0,180193.808195302,4230892.23086217,0.26000914918084067,0.5702247223972414,-0.31021557321640075,0.5702247223972414,1.7686644652967218
Quintana de la Serena,6,6,1017.408236591049,6,6,2568.0310404,2.524091065946648,0,quintana de la serena,1.3609584371344612,0.186180997569374,1.0432505567456347,2.47514632720444,300.0,267899.56553466,4291626.71595212,0.9258810240386567,0.49734279430598866,0.42853822973266803,0.49734279430598866,1.6443460945975443
Fuente de Cantos,5,5,19184.962317431386,10,10,27807.3720877,1.449435846034179,1,fuente de cantos,1.1990205684608055,0.0796276460834024,1.0510836046392888,1.7913162633122817,300.0,210576.519256137,4238675.90281686,0.3711744090238848,0.5120462211819609,-0.14087181215807604,0.5120462211819609,1.668702237746958
Navalvillar de Pela,45,45,26419.994735854943,45,45,33527.8778526,1.2690342366760146,0,navalvillar de pela,1.364344548804321,0.2867520410738371,1.064718682947416,5.02531245482675,300.0,286648.544033966,4329925.74332166,0.23825616762443566,0.43177006835661386,-0.1935139007321782,0.43177006835661386,1.5399809840912622
Monesterio,10,10,26385.42987974599,10,10,34135.9940873,1.2937440944823684,0,monesterio,1.2076953918398656,0.0817987481679759,1.0561585257458614,1.648864880487898,300.0,213224.044346896,4220761.73252889,0.25754041336981465,0.3882883247340599,-0.13074791136424524,0.3882883247340599,1.4744548448084789
Santa Amalia,38,36,16050.78490786989,3,3,21165.5675507,1.3186624624395953,1,santa amalia,1.3208309869586254,0.1479048951240275,1.057110264796184,1.9526879129464825,300.0,239518.868352074,4322476.23005031,0.2766179368463195,0.48498014663337724,-0.20836220978705772,0.48498014663337724,1.6241427638224064
Santa Marta,9,9,18013.026626755032,9,9,32747.0820169,1.817966669091592,0,santa marta,1.22549779578525,0.1130201645581756,1.0400514008649822,1.9571165590980617,300.0,184421.852048258,4280386.3707078,0.5977186617542126,0.39791157927858767,0.19980708247562495,0.39791157927858767,1.4887123910639692
Arroyo de San ServÃ¡n,14,14,8458.290533810423,14,14,10352.9811075,1.22400395991553,0,arroyo de san servan,,,,,,200375.713925654,4306512.83471976,0.20212741931000713,0.6398172716008079,-0.4376898522908008,0.6398172716008079,1.8961343700492825
Valverde de LeganÃ©s,13,13,8198.57055791227,13,13,10714.8409813,1.3069157489849654,0,valverde de leganas,,,,,,153871.708078802,4287904.90080638,0.2676699711909607,0.3097560447461969,-0.04208607355523619,0.3097560447461969,1.3630925399806733
Zalamea de la Serena,6,6,9841.280878619746,15,6,16478.1597548,1.6743917746112624,0,zalamea de la serena,1.3066833645836655,0.1184625465025505,1.0432505567456347,2.233509501120392,300.0,268699.575412305,4281526.99142701,0.5154499796980637,0.5322283199519162,-0.016778340253852497,0.5322283199519162,1.7027222944610998
Hornachos,12,1,13757.275895333278,2,1,16645.636288,1.2099514769233135,0,hornachos,1.2714008142818167,0.0939000121207995,1.0996134307526992,1.6993767850483283,300.0,232844.58286239,4272004.56580725,0.19058025708828458,0.3820742250574882,-0.19149396796920365,0.3820742250574882,1.465320844620501
Barcarrota,13,13,27347.297891374303,13,13,31781.1182354,1.1621301073925911,0,barcarrota,1.2406909548713467,0.0728864070855645,1.0869020229873654,1.6696663195335122,300.0,164583.377887839,4269949.74146194,0.1502546206579211,0.34431996815481836,-0.19406534749689724,0.34431996815481836,1.4110300479658624
Herrera del Duque,11,11,21654.01401204045,11,11,41867.2312026,1.933462829539144,0,herrera del duque,1.6041928245462782,0.3370082424612259,1.1596594323712064,3.3074756902532494,300.0,323046.866434995,4337525.72681164,0.6593126074372596,0.49075700143535866,0.16855560600190095,0.49075700143535866,1.6335523534952459
Villanueva del Fresno,13,13,35572.959912619546,13,13,42261.2183378,1.1880152352126252,0,villanueva del fresno,1.22348989584505,0.0630968230670537,1.0713198069205057,1.5661129962381726,300.0,136128.896590036,4255754.61635045,0.17228404511127468,0.36298487951743375,-0.19070083440615906,0.36298487951743375,1.437614121657605
Talarrubias,11,11,14453.49806538981,11,11,16771.9594239,1.1604083210874712,0,talarrubias,1.3581500257831536,0.2139282610684,1.077569581091887,2.8405219255057266,300.0,306821.661471904,4323494.03637111,0.14877194411795278,0.3823203758655904,-0.23354843174763765,0.3823203758655904,1.4656815789262323
Zarza. La,14,14,18494.37782642704,14,14,30386.0119334,1.6429864372069187,0,la zarza,1.3163682503075618,0.1137574126858183,1.1266671913350732,1.8310390772479488,300.0,220951.068092139,4301549.95986298,0.4965155841256963,0.5186893780955999,-0.0221737939699036,0.5186893780955999,1.679824591420957
Ribera del Fresno,2,1,507.8512614538078,2,1,599.1625206,1.179799216969155,0,ribera del fresno,1.2476878461759873,0.0897523840199594,1.0483853480765282,1.6512130397671303,300.0,218028.792754119,4272121.48311273,0.16534426888866446,0.381030244013883,-0.21568597512521856,0.3810302440138831,1.4637918756820798
Burguillos del Cerro,5,5,10239.075328993084,5,5,12557.4356728,1.226422823283878,0,burguillos del cerro,1.261046786183346,0.0996119154557311,1.1258543248261037,2.0104719651216527,300.0,186427.125312274,4254283.19671764,0.20410165838589642,0.49778068935690106,-0.2936790309710047,0.49778068935690106,1.6450663032907586
Orellana la Vieja,17,3,17349.880188732423,17,3,25732.9822141,1.4831792458608353,0,orellana la vieja,1.376753141119899,0.2631088978466939,1.132312123023019,4.941997023386096,300.0,280448.872765263,4320425.98257526,0.3941879229192794,0.3968254678674169,-0.0026375449481375046,0.3968254678674169,1.4870963613011274
ZahÂ¡nos,8,8,34622.18520358762,13,13,48823.1252513,1.4101687968049124,1,zahanos,,,,,,154558.043961957,4250039.7360852,0.3437094112709595,0.44488054187538334,-0.10117113060442384,0.44488054187538334,1.5603037937342341
Solana de los Barros,9,9,24372.08128640913,14,14,27640.8112099,1.1341177999973948,1,solana de los barros,1.244331058530589,0.1319322239189968,1.039926743263506,2.2686915312081437,300.0,192628.756595015,4292382.91168752,0.12585507997864906,0.3866703807052847,-0.2608153007266356,0.3866703807052847,1.4720711882280713
Valdelacalzada,4,4,5783.654776027909,18,18,25482.5956073,4.405967609429293,1,valdelacalzada,1.3338920677928103,0.2901678914982764,1.0756909427936958,5.140359032336688,300.0,179119.796748155,4311121.52191737,1.4829598968845166,0.6132481176028506,0.869711779281666,0.6132481176028506,1.8464190554470856
LobÃ³n,4,4,13693.286858202278,4,4,18797.0608856,1.3727208872675123,0,loba3n,,,,,,185833.310338901,4306467.35070999,0.31679481935226095,0.7123689864567102,-0.39557416710444926,0.7123689864567102,2.038815468379151
Monterrubio de la Serena,16,16,3545.115595877848,16,16,6048.9566014,1.7062790867619495,0,monterrubio de la serena,1.246064216908385,0.1036453598630459,1.0833046412091545,1.987854678190479,300.0,287148.775343739,4274027.30723098,0.5343150269923217,0.4462006444696891,0.0881143825226326,0.4462006444696891,1.5623649149666694
Fuentes de LeÃ³n,8,8,12476.085121910028,8,8,17385.6661278,1.3935193578687557,0,fuentes de lea3n,,,,,,189675.859134885,4219378.23330193,0.331832459388952,0.5220724658884704,-0.19024000649951844,0.5220724658884704,1.6855172093740427
Garrovilla. La,14,14,7696.807884513601,14,14,17954.9690776,2.332781244771145,0,la garrovilla,1.2970131938473966,0.1361079465179274,1.055745684576971,2.2306958115294693,300.0,198539.938044477,4313652.36502644,0.847061223006992,0.6286331977089578,0.2184280252980343,0.6286331977089578,1.8750460098518436
Berlanga,10,10,18397.78328712889,10,10,28292.7523103,1.537834850467754,0,berlanga,1.23559978379784,0.0806409800043783,1.0616208008830532,1.6929553579957,300.0,252650.474433837,4241128.02990056,0.4303754859080878,0.3872915647269257,0.043083921181162055,0.3872915647269257,1.472985899401486
Higuera la Real,8,8,5919.874828587839,5,5,60809.5740084,10.272104692947682,1,higuera la real,1.2235907938743926,0.0724247393538792,1.1230268016449578,1.7246634623864354,300.0,176793.013622453,4227933.7002794,2.3294319389661187,0.39432939771168346,1.9351025412544351,0.39432939771168346,1.4833890931804445
Villar del Rey,18,18,25772.446889776424,18,18,27718.4357519,1.0755065621221835,0,villar del rey,1.2897765035955655,0.1047355568651457,1.0508834381034338,1.818208658234984,300.0,167542.663595038,4338566.28989181,0.07279177116885024,0.5279636192778132,-0.45517184810896294,0.5279636192778132,1.6954761558327769
Granja de Torrehermosa,16,16,31686.87007402976,16,16,44021.0463071,1.3892519584374856,0,granja de torrehermosa,1.251072225733489,0.0789888610140742,1.058142014135675,1.7838976827814292,300.0,273049.541257479,4243628.07080504,0.3287654428853654,0.42491222163187875,-0.09614677874651334,0.42491222163187875,1.5294561606050534
MedellÂ¡n,3,3,10095.22632319643,3,3,17051.076752,1.6890237233038234,0,medellan,,,,,,243950.53556185,4316925.87894331,0.5241506834960117,0.5254935891611755,-0.0013429056651638183,0.5254935891611755,1.6912934465014136
Bienvenida,10,10,17907.198368247646,2,1,33064.2365839,1.8464215285920007,1,bienvenida,1.2528349488248745,0.0823751230907733,1.0713322921525976,1.7754279451513812,300.0,219443.46491441,4244013.63346861,0.6132494570297004,0.5634840059983182,0.04976545103138219,0.5634840059983182,1.7567824912303494
Codosera. La,39,39,23793.1262442104,39,39,35394.5134733,1.4875940685563578,0,la codosera,1.286895751433312,0.079560854005792,1.112448893611457,1.616190241583763,300.0,139734.35554601,4348134.85537526,0.39716009580374206,0.4797767332299848,-0.08261663742624276,0.4797767332299848,1.6157136267570933
Valencia del Ventoso,5,5,10242.678485975046,5,5,17505.7821345,1.7091019852346316,0,valencia del ventoso,1.2332219062151988,0.097947822574667,1.1006871006983867,1.8122743644720287,300.0,196205.065608124,4241213.64596825,0.5359680777389241,0.5031285941372269,0.032839483601697195,0.5031285941372269,1.6538875277483314
Coronada. La,17,3,4864.330925448042,17,3,5438.5785014,1.1180527362864536,0,la coronada,1.2996690538103812,0.1635780653129446,1.0638930462224117,2.94008369320005,300.0,268599.447152557,4311326.17069941,0.11158854382298083,0.5354408119749938,-0.423852268152013,0.5354408119749938,1.7082010718020288
TorremejÂ¡a,14,14,13702.503547375643,14,14,16068.2475932,1.1726504968705118,0,torremejaa,,,,,,206697.645517188,4298978.53842531,0.15926656864131203,0.5681411392933449,-0.4088745706520328,0.5681411392933449,1.764983142403274
Siruela,11,11,3253.024848357282,11,11,3687.4448453,1.1335433995107944,0,siruela,1.369968651725474,0.2061165417239386,1.1086928615301683,3.2941642166440417,300.0,322546.984187536,4316376.31409884,0.12534847828787643,0.38006672269936104,-0.2547182444114846,0.38006672269936104,1.462382160264324
Higuera de Vargas,13,13,28067.820991878576,13,13,34603.2753077,1.2328450903870471,0,higuera de vargas,1.2438885245722362,0.0730188270342141,1.0843827788914249,1.7100336804415122,300.0,153287.045855984,4262862.96744994,0.2093245799446511,0.3668874344727225,-0.1575628545280714,0.3668874344727225,1.4432354514116443
Segura de LeÃ³n,8,8,9255.476273020911,8,8,11361.0517047,1.2274950925882333,0,segura de lea3n,,,,,,190656.301240721,4225230.53342205,0.20497558278708738,0.5583933855105501,-0.3534178027234627,0.5583933855105501,1.7478621027081056
SalvaleÃ³n,9,9,28212.110599365536,13,13,39703.631184,1.407325802306081,1,salvalea3n,,,,,,169863.663790317,4269404.11659907,0.34169130946900733,0.33772815233399467,0.003963157135012663,0.33772815233399467,1.4017593865872642
Pueblonuevo del Guadiana,4,4,2878.6148999979337,18,18,17642.6767016,6.128877017072574,1,pueblonuevo del guadiana,1.3350935009714977,0.3494937134297295,1.062485433807087,6.722196033239698,300.0,174503.538437169,4315036.37176893,1.8130115385611385,0.5851946231877558,1.2278169153733827,0.5851946231877558,1.7953403665052243
Alange,14,14,18755.13219614948,14,14,24966.8330052,1.331200054688274,0,alange,1.278873971912999,0.095755057077674,1.1438679925051956,1.805800862119069,300.0,217966.889248342,4298087.44004889,0.2860808321667429,0.49519375343803596,-0.20911292127129305,0.49519375343803596,1.6408161220254178
Puebla de Obando,4,4,33316.79088338731,18,18,43667.0884925,1.3106631021378965,1,puebla de obando,1.3399167595714156,0.1530625444288859,1.0843238578147407,2.268426507139529,300.0,186736.392813196,4342911.20828484,0.2705331939828196,0.39554814355578566,-0.12501494957296605,0.39554814355578566,1.4851980695902731
Albuera. La,4,4,20649.391651879658,4,4,22465.3687338,1.0879433695934109,0,la albuera,1.2476066523616207,0.1142079940024273,1.0397174872842183,2.200173025946079,300.0,167736.085267601,4292512.54141989,0.08428909707304613,0.34341239848839167,-0.25912330141534556,0.34341239848839167,1.4097500208406688
Usagre,10,10,18896.901053398666,2,1,24923.2796511,1.3189083003965605,1,usagre,1.240002493659132,0.0837190578793611,1.0713322921525976,1.6813157143605697,300.0,223458.597186722,4250267.30977057,0.2768043492536308,0.5130732849083953,-0.23626893565476453,0.5130732849083953,1.670416981710496
Fuenlabrada de los Montes,11,11,22040.378251680435,11,11,33618.0158553,1.5252921465962974,0,fuenlabrada de los montes,1.4279815029918927,0.3757825751713448,1.0890756465162086,5.794300508604257,300.0,333046.431007462,4333425.89643132,0.42218596325044666,0.4496266912213773,-0.027440727970930612,0.4496266912213773,1.5677268300496645
Alconchel,13,13,18948.21447747816,13,13,22273.9776364,1.1755185515170752,0,alconchel,1.2408859385545108,0.068180246890175,1.0465945693256744,1.5740149783899944,300.0,145191.636633673,4271016.32766759,0.16170937068296246,0.3383991912575008,-0.17668982057453833,0.3383991912575008,1.4027003373690454
Oliva de MÃ©rida,12,1,26073.570300097566,1,1,32404.4389955,1.242807894068069,0,oliva de marida,,,,,,228900.929205502,4298220.74069683,0.21737325035764204,0.5170560045560813,-0.2996827541984392,0.5170560045560813,1.6770830499724425
Salvatierra de los Barros,9,9,19427.994936629995,9,9,26764.557837,1.3776284132408063,0,salvatierra de los barros,1.239817251938247,0.1107417250524599,1.079343245323658,1.825684827750417,300.0,178721.064239294,4266819.64927304,0.32036347965343465,0.39505996594727283,-0.07469648629383818,0.39505996594727283,1.4844732060939523
Villalba de los Barros,9,9,11714.745000134291,9,9,14889.6061003,1.2710141023239785,0,villalba de los barros,1.2321329583218348,0.1058257700431887,1.0568737172335774,1.8461153166362647,300.0,194612.591293342,4279819.31539555,0.23981508760129278,0.39505486639048504,-0.15523977878919226,0.39505486639048504,1.48446563595784
Casas de Don Pedro,11,11,25282.954473122987,11,11,33489.3263813,1.3245812081377115,0,casas de don pedro,1.3843585908351557,0.2686712662854926,1.0618683713551542,3.822096698405996,300.0,298747.997151436,4330925.78555651,0.2810963401477182,0.44706978181210916,-0.16597344166439093,0.44706978181210916,1.5637234149327615
Esparragalejo,14,14,5336.021238277295,14,14,13499.5465227,2.5298899535599024,0,esparragalejo,1.2755740947123568,0.1251408444938038,1.064848879009403,2.4398715873646952,300.0,202274.773257213,4316313.78985354,0.9281758051767842,0.6006427250203702,0.327533080156414,0.6006427250203702,1.823290298168745
MontemolÃ­n,10,10,18162.110574112045,10,10,28423.9395481,1.5650130215931504,0,montemolan,,,,,,218601.742519996,4227961.0489293,0.44789414446430664,0.45430605462362367,-0.006411910159317025,0.45430605462362367,1.5750799842258691
Roca de la Sierra. La,4,4,24371.522884994625,18,18,34585.1994405,1.4190824103894577,1,la roca de la sierra,1.2761372218051,0.1061888904472696,1.0508834381034338,1.7614003837807952,300.0,181228.02521265,4335453.55515984,0.3500104728759335,0.5452910455321791,-0.1952805726562456,0.5452910455321791,1.7251103949916053
Campillo de Llerena,6,6,30311.59366618093,10,10,42735.0321746,1.4098576487015948,1,campillo de llerena,1.2784318383322406,0.0934936977105272,1.0381274979682968,1.8862807418471368,300.0,253200.344357668,4265427.35573756,0.34348874092577464,0.3709839220007681,-0.027495181074993436,0.3709839220007681,1.4491597736096111
Cabeza la Vaca,8,8,19595.77532372632,8,8,23303.7601647,1.189223686213839,0,cabeza la vaca,1.2983588863196915,0.1019124262303118,1.1191938065235632,1.7913162633122817,300.0,200108.096565672,4221009.17211816,0.17330072971492516,0.3754117874648974,-0.20211105774997223,0.3754117874648974,1.4555906852218676
Villar de Rena,38,36,11550.92963352235,17,3,19675.7205342,1.7033884854685997,1,villar de rena,1.3100178584472455,0.1951182931700744,1.037665149272261,2.7545106271294597,300.0,256899.892457757,4329175.6024318,0.5326194939677,0.4611820749823396,0.07143741898536043,0.4611820749823396,1.5859475863728114
Trujillanos,14,14,12085.643982355536,14,14,16622.2856685,1.3753744271110209,0,trujillanos,1.293463025554697,0.1571633367448987,1.0660031258837346,2.579512726361254,300.0,217635.776352278,4316503.63598875,0.31872600467492257,0.6211421859431224,-0.30241618126819986,0.6211421859431224,1.8610524963550918
Valle de la Serena,6,6,12737.672270779422,15,6,30617.6914144,2.4037116643861096,0,valle de la serena,1.2952324798796049,0.160470045241058,1.1163093702260138,2.742833713284476,300.0,256770.086678079,4287426.76408689,0.8770140695403692,0.503258518820749,0.3737555507196202,0.503258518820749,1.6541024225217207
Parra. La,9,9,13889.765957591522,9,9,19451.1216502,1.4003923255142314,0,la parra,1.2340805000615145,0.1158603459380918,1.0486273340600176,1.967418782766764,300.0,184244.369114037,4270008.86006424,0.3367524298735824,0.48083401529162034,-0.14408158541803795,0.48083401529162034,1.6174227951687392
Mirandilla,14,14,13277.890530435514,14,14,18470.0903376,1.391041016286657,0,mirandilla,1.3420648288336992,0.1719871737396414,1.0819293701725623,2.579512726361254,300.0,215349.757680452,4322268.24643587,0.3300523994128711,0.597528657209217,-0.2674762577963459,0.597528657209217,1.817621279975604
Haba. La,3,3,4970.374817506334,3,3,11653.033084,2.344497852145162,0,la haba,1.289492254542157,0.1547220896202583,1.0590347148463335,2.3114559329815725,300.0,257269.955357967,4311626.10215401,0.8520712434221801,0.5227102448207149,0.32936099860146517,0.5227102448207148,1.686592539615153
Villagonzalo,14,14,17656.13178138769,14,14,35569.9918657,2.0145970989634496,0,villagonzalo,1.2864772482537663,0.1100730362441571,1.084963803472348,1.936543711040428,300.0,222733.144718811,4306544.74259423,0.7004192245191772,0.5253542034644098,0.1750650210547674,0.5253542034644098,1.691057720814714
Feria,9,9,8685.736469212608,9,9,14715.4742388,1.6942114570204094,0,feria,1.2411909358161373,0.1212211467844935,1.0847955745496578,2.2529631642232664,300.0,189381.716188934,4268830.82719124,0.5272174154882627,0.4378108180177342,0.08940659747052854,0.4378108180177342,1.549311777819688
Medina de las Torres,5,5,6026.207956964354,5,5,12467.3509905,2.068855087566595,0,medina de las torres,1.228337310433543,0.0927515408768887,1.0923257264313408,1.9830014451689384,300.0,201954.859122503,4249461.92266417,0.7269953564683533,0.4910729590981436,0.23592239737020976,0.4910729590981436,1.63406856842563
Valdetorres,3,3,18259.338200631788,3,3,28456.1828867,1.5584454690540424,0,valdetorres,1.3723284205200714,0.1500970415500997,1.1589880108899475,2.121519581303991,300.0,234068.148568638,4312012.22747101,0.44368883023489103,0.48287051234002787,-0.03918168210513684,0.48287051234002787,1.6207200281802185
Almendral,13,13,23286.90733369485,13,13,25561.5434475,1.097678754899062,0,almendral,1.2333750542637492,0.0939549716687458,1.0524035820479327,1.8653536810509672,300.0,167409.247159862,4280948.85713938,0.09319772732784917,0.343100844509709,-0.24990311718185984,0.343100844509709,1.4093108760249373
Corte de Peleas,4,4,21007.600552486023,4,4,26151.7756286,1.2448720910920603,0,corte de peleas,1.2794414723219816,0.1751555790630175,1.0369552805447189,2.8086331755195526,300.0,181123.314786399,4292787.19755654,0.21903278656008662,0.3696371052107873,-0.15060431865070067,0.3696371052107873,1.447209334631958
Cheles,13,13,26526.5774569616,13,13,30650.2310299,1.155453660753215,0,cheles,1.2316692520304109,0.0659499232877324,1.0697393951943288,1.5605190525643962,300.0,126861.594089967,4271511.87340683,0.14449304672884897,0.3398625321015024,-0.19536948537265345,0.3398625321015024,1.404754468645156
Puebla de Alcocer,11,11,14631.0018421087,11,11,21416.065775,1.4637456823608326,0,puebla de alcocer,1.3847255404059025,0.2110095101121299,1.106473310508677,2.86672610000742,300.0,304747.787391049,4317726.18376403,0.3809986862146506,0.3625817326055506,0.018416953609100006,0.3625817326055506,1.4370346687741475
