municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,bym2_log_beta_pred,bym2_beta_pred
Cabeza la Vaca,8,8,19595.77532372632,8,8,23303.7601647,1.189223686213839,0,cabeza la vaca,1.2983588863196915,0.1019124262303118,1.1191938065235632,1.7913162633122817,300.0,200108.096565672,4221009.17211816,0.4273831686134822,1.533240038644375
Villar de Rena,38,36,11550.92963352235,17,3,19675.7205342,1.7033884854685997,1,villar de rena,1.3100178584472455,0.1951182931700744,1.037665149272261,2.7545106271294597,300.0,256899.892457757,4329175.6024318,0.47576936976129636,1.6092518310229238
Trujillanos,14,14,12085.643982355536,14,14,16622.2856685,1.3753744271110209,0,trujillanos,1.293463025554697,0.1571633367448987,1.0660031258837346,2.579512726361254,300.0,217635.776352278,4316503.63598875,0.47136570874109157,1.6021808120751104
Valle de la Serena,6,6,12737.672270779422,15,6,30617.6914144,2.4037116643861096,0,valle de la serena,1.2952324798796049,0.160470045241058,1.1163093702260138,2.742833713284476,300.0,256770.086678079,4287426.76408689,0.5305079371989941,1.6997954787362188
Parra. La,9,9,13889.765957591522,9,9,19451.1216502,1.4003923255142314,0,la parra,1.2340805000615145,0.1158603459380918,1.0486273340600176,1.967418782766764,300.0,184244.369114037,4270008.86006424,0.4403004155249541,1.5531737459380173
Mirandilla,14,14,13277.890530435514,14,14,18470.0903376,1.391041016286657,0,mirandilla,1.3420648288336992,0.1719871737396414,1.0819293701725623,2.579512726361254,300.0,215349.757680452,4322268.24643587,0.47108204173310503,1.6017263906931196
Haba. La,3,3,4970.374817506334,3,3,11653.033084,2.344497852145162,0,la haba,1.289492254542157,0.1547220896202583,1.0590347148463335,2.3114559329815725,300.0,257269.955357967,4311626.10215401,0.5221815964039436,1.6857011607731136
Villagonzalo,14,14,17656.13178138769,14,14,35569.9918657,2.0145970989634496,0,villagonzalo,1.2864772482537663,0.1100730362441571,1.084963803472348,1.936543711040428,300.0,222733.144718811,4306544.74259423,0.5080571383697005,1.662058905542227
Feria,9,9,8685.736469212608,9,9,14715.4742388,1.6942114570204094,0,feria,1.2411909358161373,0.1212211467844935,1.0847955745496578,2.2529631642232664,300.0,189381.716188934,4268830.82719124,0.462696424212471,1.588351084287553
Medina de las Torres,5,5,6026.207956964354,5,5,12467.3509905,2.068855087566595,0,medina de las torres,1.228337310433543,0.0927515408768887,1.0923257264313408,1.9830014451689384,300.0,201954.859122503,4249461.92266417,0.5022987067548684,1.6525155567266743
Valdetorres,3,3,18259.338200631788,3,3,28456.1828867,1.5584454690540424,0,valdetorres,1.3723284205200714,0.1500970415500997,1.1589880108899475,2.121519581303991,300.0,234068.148568638,4312012.22747101,0.4757740183734499,1.6092593118279312
Almendral,13,13,23286.90733369485,13,13,25561.5434475,1.097678754899062,0,almendral,1.2333750542637492,0.0939549716687458,1.0524035820479327,1.8653536810509672,300.0,167409.247159862,4280948.85713938,0.39601880535400036,1.4858972601126386
Corte de Peleas,4,4,21007.600552486023,4,4,26151.7756286,1.2448720910920603,0,corte de peleas,1.2794414723219816,0.1751555790630175,1.0369552805447189,2.8086331755195526,300.0,181123.314786399,4292787.19755654,0.42057258188442975,1.5228332527693627
Cheles,13,13,26526.5774569616,13,13,30650.2310299,1.155453660753215,0,cheles,1.2316692520304109,0.0659499232877324,1.0697393951943288,1.5605190525643962,300.0,126861.594089967,4271511.87340683,0.39721973821712614,1.4876827949026428
Puebla de Alcocer,11,11,14631.0018421087,11,11,21416.065775,1.4637456823608326,0,puebla de alcocer,1.3847255404059025,0.2110095101121299,1.106473310508677,2.86672610000742,300.0,304747.787391049,4317726.18376403,0.44212002855795646,1.556002493961532
Torre de Miguel Sesmero,13,13,25192.444045516284,13,13,28335.9300225,1.1247789206678098,0,torre de miguel sesmero,1.2480470928101008,0.1036809545472448,1.0539382000394348,2.007265011011288,300.0,169648.950744681,4281454.13961979,0.39936227162978105,1.4908736220043823
Valdecaballeros,45,45,26825.871607729823,11,11,67269.8220883,2.507647209826961,1,valdecaballeros,2.041629276123473,0.5810009919219409,1.2373805271107363,5.178954809153731,300.0,311177.365142787,4346075.42409472,0.5312905511821263,1.701126283131482
Pe̱alsordo,7,7,13142.81913406931,7,7,18075.0163156,1.3752769577985946,0,peaalsordo,,,,,,316497.339563731,4299026.76612878,0.4322688613752835,1.5407493074562466
Valle de Santa Ana,5,5,27237.20526670436,9,9,49431.2028463,1.8148412203922517,1,valle de santa ana,1.269082367417527,0.1120903900771336,1.1492495726103074,2.507841728889714,300.0,169100.865605342,4253406.09905679,0.47303512926529195,1.6048577594600089
