origin_id,destination_id,total_cost
1,Santa Cruz de la Sierra,114199.3696564
1,Portezuelo,169536.9006854
1,Alcollarín,103940.7054162
1,Viandar de la Vera,232987.7903705
1,Millanes,193919.1378607
1,Marchagaz,238255.6381436
1,Rebollar,227979.4640994
1,Guijo de Coria,207845.2353182
1,Valdemorales,102015.3231284
1,Villar de Plasencia,215766.5543978
1,Ladrillar,275105.4346416
1,Carbajo,191898.9309850
1,Romangordo,170693.4590383
1,Casas de Don Antonio,95095.3199826
1,Valdehúncar,197925.7587368
1,Conquista de la Sierra,118529.0642355
1,Piedras Albas,193292.0108154
1,Collado,213213.9940085
1,Botija,127875.2984371
1,Huélaga,202843.4158786
1,Cerezo,234890.1054945
1,Descargamaría,240618.3375214
1,Segura de Toro,230039.5421381
1,Toril,198851.0269868
1,Mesas de Ibor,208317.3422830
1,Pescueza,196659.4981415
1,Villa del Rey,174105.9691382
1,Jarilla,222090.5684901
1,Casas de Miravete,169722.5608203
1,Gargüera,217580.0685313
1,Robledillo de Gata,243577.6383997
1,Valdecañas de Tajo,217054.5176009
1,Pedroso de Acim,171870.8337231
1,Berrocalejo,220936.4291988
1,Garvín,215208.7876241
1,Higuera,174059.2359560
1,Benquerencia,118141.8404378
1,Cachorrilla,198523.0445820
1,Campillo de Deleitosa,221935.8415863
1,Ruanes,117500.4302390
2,Badajoz,83354.8149035
2,Mérida,62705.4294680
2,Don Benito,68330.0789899
2,Almendralejo,27175.3333349
2,Villanueva de la Serena,79877.2049851
2,Zafra,23735.8693085
2,Montijo,71376.8142164
2,Villafranca de los Barros,9801.7286769
2,Olivenza,87383.4056214
2,Jerez de los Caballeros,61799.9608065
2,Azuaga,69149.7583602
2,"Santos de Maimona. Los",20402.9916678
2,Guareña,43530.0192318
2,Fuente del Maestre,21548.4387792
2,Castuera,76158.1001353
2,Calamonte,50804.4453978
2,Llerena,50672.6798982
2,Puebla de la Calzada,72032.0843599
2,San Vicente de Alcántara,157164.7043503
2,Alburquerque,125707.5797096
2,Aceuchal,27214.3333579
2,Oliva de la Frontera,78917.0230735
2,Talavera la Real,65623.0404671
2,Cabeza del Buey,111298.0283744
2,Campanario,96827.0572042
2,Fregenal de la Sierra,63050.4904901
2,Quintana de la Serena,88517.3156286
2,Fuente de Cantos,44133.3341490
2,Navalvillar de Pela,111192.4481418
2,Monesterio,60338.7934409
2,Santa Amalia,71747.1144383
2,Santa Marta,48052.8934019
2,Arroyo de San Serván,48906.1287511
2,Valverde de Leganés,76390.5432486
2,Zalamea de la Serena,66216.2409390
2,Hornachos,16645.6362880
2,Barcarrota,65530.6874187
2,Herrera del Duque,164376.7160911
2,Villanueva del Fresno,103589.0890113
2,Talarrubias,127132.7790042
